stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,184.01,5.26,0,0,55.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,0,169.94,12.59,0,0,37.76,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,16,0,1,0,0,39,1,0,0,0,7,0,0,44,2,3,13,2,1,2,17,0,0,145,0,0
 24-34,0,0,0,2.46,3.28,0,0,0,0,34.48,0,0,1.64,0,1.64,0,1.64,27.91,2.46,10.67,4.93,0,0.82,0,17.24,0,4.1,70.59,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,32.23,0.81,0,1.61,0,2.42,0,0,25.78,0,12.09,2.42,0,0.81,0,7.25,0.81,0,54.79,0,0
 48-58,0,0,0,0,1.15,0,3.44,0,0.57,20.66,0,0,1.72,0,1.72,0,0.57,17.79,0,9.75,2.3,0,0.57,0,2.3,0,0,48.77,0,0
 60-70,0,0,0,0,0,0,7.85,0,0.98,33.37,0,0,0.98,0.98,2.94,0.98,0,12.76,0,10.8,2.94,0,1.96,0,3.93,0,0,28.46,0,0
 72-82,0,0,2.94,0,0,0,11.78,0,0,44.17,2.94,0,3.93,0,2.94,0,0,11.78,0,13.74,10.8,0,0,0,1.96,0,0,19.63,0,0
 84-94,0,0,3.19,0,0,0,7.43,1.06,0,36.11,2.12,0,3.19,0,2.12,0,0,9.56,0,10.62,10.62,0,0,0,5.31,0,0,15.93,1.06,1.06
 96-106,0,0,1.09,1.09,1.09,1.09,5.46,0,0,28.41,1.09,2.19,5.46,0,2.19,0,0,12.02,0,21.86,10.93,0,0,0,2.19,1.09,0,13.11,0,0
108-118,0,0,1.53,0.77,1.53,0,3.06,0,0,19.92,0.77,0.77,1.53,0,3.06,0,0,4.6,0,11.49,11.49,0,0,0,3.06,0,0,7.66,0,0
120,0,0,1.96,0,0,0,3.92,0,0,11.76,5.88,1.96,1.96,0,0,0,1.96,1.96,0,9.8,5.88,0,0,0,3.92,0,0,3.92,0,0
