stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,521.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,15.77,0,13.14,0,0,0,39.43,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,312.82,15.77,0,0,120.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,59.79,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,327.28,12.59,0,0,103.85,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,29,2,0,12,0,0,0,2,1,0,0,0,0,0,0,0,0,12,0,10,121,2,0,2,2,0,1,19,2,1,21,44,0,0,2,0,0
 24-34,0,0,1.64,0,9.85,0,0,15.6,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,27.91,0,9.85,164.99,4.93,0.82,1.64,0,0,1.64,0,0,0,4.93,41.86,0,0,3.28,0,0
 36-46,0,0,0,0,4.83,0.81,0,33.03,0,2.42,1.61,13.7,0,0,0.81,0,0,0.81,0,0.81,0,24.98,0,9.67,159.52,0,1.61,0.81,0,0,2.42,0,0,0,0,44.31,0,0,3.22,0,0
 48-58,0,0,0,0,5.16,0,0,37.87,0,0,1.15,21.23,0.57,0,0.57,0,0.57,0.57,1.15,0,0,49.35,2.87,8.03,75.17,0,0,0.57,0,0,1.15,0,0,1.15,0,23.53,0,0,4.02,0,0.57
 60-70,0,0,0,0,3.93,0.98,0,30.43,0,0.98,0,30.43,1.96,0,0,1.96,0.98,1.96,0.98,0.98,0.98,71.65,0.98,8.83,53,3.93,1.96,0,0,0,2.94,0,0,0.98,0,12.76,0,0,5.89,0,2.94
 72-82,0,0,0,0,5.89,0.98,0,21.6,2.94,0.98,2.94,34.36,0,0,0,0.98,0,0,0.98,0,0,75.59,4.91,7.85,33.38,0,0,3.93,0,0.98,0.98,0,0,0,0,6.87,0,0,10.8,0.98,2.94
 84-94,0,0,0,0,10.62,0,0,22.3,1.06,1.06,3.19,15.93,1.06,0,1.06,1.06,1.06,2.12,1.06,0,1.06,53.1,2.12,8.5,22.3,0,0,2.12,0,0,8.5,0,0,0,0,4.25,1.06,3.19,9.56,0,1.06
 96-106,0,0,1.09,0,8.74,4.37,1.09,17.49,1.09,1.09,2.19,32.79,0,0,4.37,3.28,0,2.19,2.19,1.09,0,62.29,1.09,4.37,22.95,1.09,0,5.46,0,0,12.02,0,0,1.09,0,5.46,0,1.09,9.84,2.19,1.09
108-118,0,0,0.77,0,14.55,0.77,1.53,13.79,0,3.06,1.53,15.32,3.06,0,1.53,0.77,1.53,0.77,3.06,0,0,45.96,1.53,8.43,27.57,0.77,1.53,5.36,0,0.77,3.83,0,0.77,0,0,2.3,1.53,0,3.06,0,2.3
120,0,0,0,0,5.88,1.96,0,25.48,3.92,0,3.92,9.8,3.92,0,0,0,5.88,0,3.92,0,0,33.32,1.96,3.92,27.44,9.8,0,5.88,0,0,19.6,0,0,0,0,1.96,1.96,1.96,7.84,0,0
