stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,28.32,0,15.73,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,18,3,1,0,0,0,0,0,0,4,0,6,0,0,2,16,0,1,2,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,9.03,0.82,0,0,0.82,0,0,0,0,2.46,0,13.95,0,0,6.57,15.6,0,4.1,6.57,0,0,0,0.82,0,1.64,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,3.22,0,12.09,0,0,4.83,5.64,1.61,1.61,5.64,0.81,0,0,0,0,4.03,0,1.61,0
 48-58,0,0,0,0,0.57,0,0,1.72,0,0,0,0.57,4.59,0,6.31,0,0,2.87,4.02,1.72,0,4.59,0.57,0,0.57,0,0,0.57,0,1.15,0
 60-70,0,0,0,0,1.96,0,0,2.94,0,0,0.98,0,12.76,0,3.93,0,0,1.96,4.91,0.98,0.98,11.78,0,0,0.98,0.98,0,1.96,1.96,0.98,0
 72-82,0,0,3.93,0,0.98,0,1.96,5.89,0,0,0,0.98,24.54,0,11.78,0,0,1.96,15.71,5.89,0.98,13.74,0,0,0.98,0,0,0.98,0.98,2.94,0.98
 84-94,0,0,1.06,1.06,1.06,1.06,6.37,2.12,0,0,0,0,35.05,0,2.12,0,0,3.19,7.43,1.06,0,6.37,0,1.06,2.12,1.06,0,0,0,1.06,0
 96-106,0,0,2.19,0,1.09,0,13.11,2.19,0,2.19,0,1.09,39.34,0,0,0,1.09,5.46,9.84,3.28,2.19,13.11,0,0,2.19,0,0,0,1.09,3.28,3.28
108-118,0,0,0.77,0.77,0,0,27.57,2.3,0,0,0,1.53,51.32,0,1.53,0,0,4.6,5.36,3.06,0,8.43,0.77,0,1.53,0,0.77,0.77,3.06,1.53,0
120,0,0,1.96,1.96,0,0,33.32,3.92,0,1.96,0,0,80.35,0,1.96,1.96,0,11.76,5.88,1.96,1.96,13.72,1.96,0,1.96,0,0,0,0,7.84,1.96
