stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,2.46,0,0,0.82,0,0,0,0,0.82,0.82,0,0,0,0,2.46,0,0,1.64,41.86,0,0,0.82,0,0,0,0,0,2.46,0,9.03,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,3.22,0,0,0.81,0,0.81,0,0.81,0,3.22,0,0,0,0,0,0,0,0.81,49.95,0.81,0.81,0.81,0,0,2.42,0,0,0,0.81,16.11,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,4.59,0,0.57,0,1.72,0,0,0,0,1.15,0,0,0,0,1.72,0,0,0.57,47.05,0,0.57,1.15,0,0,1.15,0,0,0.57,2.87,18.94,0,0,1.15,0,0
 60-70,0,0,0,1.96,0.98,0,33.37,0.98,0,0,6.87,0,0,0,0,0.98,0.98,0.98,0,0,13.74,0,0.98,1.96,90.3,0.98,2.94,1.96,0,0,3.93,0,0,4.91,1.96,20.61,0,0,0,0,0
 72-82,0,0,0,4.91,16.69,0,64.79,1.96,0,0,14.72,0,0,0,0,0.98,0,2.94,0.98,2.94,17.67,0.98,0,0.98,139.4,0.98,3.93,4.91,0,0,5.89,0,0,0.98,0.98,14.72,0,0,0.98,0,0
 84-94,0,0,0,5.31,10.62,0,59.47,0,6.37,1.06,11.68,2.12,1.06,1.06,0,3.19,0,1.06,0,1.06,16.99,0,0,1.06,83.9,1.06,2.12,6.37,0,0,22.3,0,0,2.12,3.19,7.43,0,1.06,4.25,0,5.31
 96-106,0,0,0,10.93,14.21,1.09,102.73,4.37,0,1.09,31.69,5.46,0,1.09,2.19,3.28,1.09,4.37,0,1.09,28.41,1.09,1.09,1.09,144.26,2.19,7.65,18.58,0,1.09,15.3,0,0,5.46,1.09,15.3,1.09,1.09,3.28,1.09,1.09
108-118,0,0,0,7.66,6.89,2.3,88.09,3.06,4.6,0.77,35.23,3.06,0,1.53,0.77,6.13,0,1.53,0.77,1.53,19.15,0.77,1.53,3.06,147.83,0.77,3.06,10.72,0,0,12.26,0,0,7.66,7.66,10.72,1.53,0,1.53,0,5.36
120,0,0,0,15.68,9.8,0,99.95,5.88,0,0,19.6,3.92,0,0,5.88,3.92,1.96,0,0,0,23.52,0,3.92,7.84,244.97,0,9.8,13.72,0,0,19.6,0,0,7.84,1.96,9.8,0,0,3.92,0,0
