stage,blastomeres,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,neural,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,11.28,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0
 48-58,0,0,3.44,1.72,0,0,0,0,20.08,0,1.72,1.72,0,2.87,0,0,1.15,0,1.15,0,0,0
 60-70,0,0,22.58,5.89,0,0,0,0,55.95,0,0.98,5.89,0,4.91,0,0,3.93,0,1.96,0,0,0.98
 72-82,0,0,14.72,8.83,0.98,0.98,0,0,33.38,2.94,0,14.72,0,6.87,1.96,0,15.71,0,0,0.98,0.98,0
 84-94,0,0,37.17,1.06,1.06,0,0,0,62.66,3.19,2.12,2.12,0,6.37,4.25,1.06,29.74,0,0,0,0,0
 96-106,0,1.09,26.23,2.19,0,0,0,1.09,67.76,4.37,3.28,6.56,0,6.56,1.09,1.09,22.95,0,0,0,0,0
108-118,0,0.77,13.79,0,0.77,0,0.77,0,78.89,12.26,0.77,4.6,0,3.06,1.53,0.77,27.57,0,0,0,0.77,0
120,0,0,1.96,0,1.96,0,0,0,45.08,17.64,1.96,3.92,1.96,1.96,3.92,3.92,5.88,0,0,0,0,0
