stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,18.39,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,153.24,0,0,0,0,0,0,0,0
  7-9,7.89,0,13.14,0,0,0,15.77,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,120.92,13.14,0,0,68.35,15.77,0,0,0,0,0,0,0,0
 10-12,0,3.15,18.88,0,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,107,0,0,0,62.94,0,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,20,0,0,1,1,1,1,0,3,4,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,5.75,0,0,2.46,0,0,0.82,0,0,0,0,0,3.28,0.82,0,1.64,47.61,0,0.82,0,0,5.75,0,0,1.64,12.31,0,0,0,0
 36-46,0,0,0,0,0,0,12.09,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,1.61,45.92,0,0,0,0,2.42,0,0,0,7.25,0,0,0,0
 48-58,0,0,0,1.15,0,0,16.64,0.57,0,3.44,0,0,0,0,0,0.57,0,0.57,7.46,0,1.15,0.57,25.25,0,0.57,0,0,1.72,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,1.96,0,0,19.63,0,0,0.98,0,0,0,0,0,0.98,0.98,0,2.94,1.96,0,0,27.48,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,20.61,0,0,2.94,0,0,0,0,0,0,0,0,8.83,0,0,0.98,25.52,0,0,0.98,0,1.96,0,0,0,1.96,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,6.37,1.06,0,3.19,1.06,0,0,0,0,0,0,0,5.31,0,0,0,18.05,0,0,1.06,0,0,0,0,0,2.12,1.06,0,1.06,1.06
 96-106,0,0,0,1.09,0,1.09,4.37,1.09,0,1.09,0,0,0,2.19,0,1.09,1.09,0,5.46,0,0,2.19,10.93,0,1.09,1.09,0,3.28,0,1.09,0,0,0,1.09,2.19,1.09
108-118,0,0,0,3.83,0,0,6.13,0,0,3.06,0,0,0,0.77,2.3,0,0,0,3.06,0,0,0,10.72,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,11.76,1.96,3.92,5.88,0,0,0,1.96,0,0,0,0,0,0,0,0,13.72,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0
