stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,liver,mesenchyme,mural_cell,neural,otic,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,6.45,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,41.89,0,0,0,0.57,0,0,0,1.15,0,0.57,0,0
 60-70,0,0,116.8,0,0,0,1.96,0,0,0,3.93,0,0,0,0
 72-82,0,0,116.82,0,0.98,0,1.96,0,0.98,0,5.89,0.98,0,0,0.98
 84-94,0,0,101.96,0,1.06,0,4.25,0,1.06,1.06,2.12,0,0,0,0
 96-106,0,0,64.48,1.09,0,0,10.93,1.09,0,0,1.09,0,0,0,0
108-118,0,0.77,50.55,0,0,0.77,9.19,0,0,0,1.53,0,0,3.06,0
120,1.96,1.96,78.39,0,0,0,29.4,0,0,0,3.92,0,0,1.96,0
