stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0.82,0.82,0,0,1.64,0,0.82,69.77,0.82,0,0,0,0,0,1.64,62.39,0,0.82,0
 36-46,0,0,0,0,0,4.83,0,0,0.81,0,0,0,0,0,0,0,0,0,0,103.93,0,1.61,0,0.81,0,0,0,81.37,0,0,0
 48-58,0,0,0,1.15,0,24.1,0,0,0.57,0.57,0,0,0,0,0,0,2.87,0.57,0.57,125.09,0,0.57,0,1.15,0.57,0,0,43.61,0,0.57,1.15
 60-70,0,0,0,0.98,0,124.65,0,0,0,3.93,0,0,0,0,0,0,4.91,0,0,392.61,0,0,0,0.98,0,0,0,29.45,0,0,0
 72-82,0,2.94,0,6.87,2.94,342.6,0,0,2.94,20.61,0.98,0,0,0,0,0.98,19.63,0,0.98,622.37,0,0.98,2.94,0,0.98,0.98,0,30.43,0,0,0.98
 84-94,0,1.06,0,7.43,1.06,190.1,0,0,0,14.87,0,1.06,0,1.06,0,0,13.81,0,1.06,338.79,0,0,0,3.19,0,0,0,13.81,0,0,1.06
 96-106,0,0,0,7.65,1.09,140.98,1.09,0,2.19,9.84,0,0,0,0,1.09,0,12.02,0,1.09,335.5,0,0,0,6.56,0,0,0,9.84,0,0,0
108-118,0,1.53,0,4.6,1.53,128.68,0,0,1.53,13.02,0.77,0,0,0,0,0.77,10.72,0,0,399.83,0,0.77,0,0,0,0,0,5.36,1.53,1.53,0
120,0,3.92,0,9.8,1.96,135.23,0,1.96,0,9.8,0,0,0,0,1.96,0,7.84,1.96,1.96,527.18,0,0,1.96,0,0,0,0,9.8,1.96,0,0
