stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,131.78,2372.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0
  5-6,122.59,1930.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,12.26,0,30.65,0,0,0,0,0
  7-9,10.51,10.51,0,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,247.1,2.63,0,0,97.26,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,1,0,0,1,0,8,0,0,0,0,0,1,0,10,0,0,0,1,0,0,2,1,5,33,0
 24-34,0,0,0.82,0,0,0,1.64,0,13.13,0,0,0,0.82,0,2.46,0,19.7,0.82,1.64,0,0,0.82,0.82,0.82,0,9.85,32.83,0
 36-46,0,0,0,0,0,0,3.22,0,17.72,0,0.81,0,0,0,0,0,17.72,0,0.81,0,0,0,0,0,0,7.25,34.64,0.81
 48-58,0,0,0,0,0,0,4.59,0,21.23,0,0,0,0,0,0,0,10.9,0,1.15,0.57,0,0,0,0,0,3.44,18.36,0
 60-70,0,0,0.98,0,0,0,25.52,0,33.37,0,0,0,0,0,0,0,11.78,0.98,1.96,0,0,0,0,0,0,0.98,14.72,0
 72-82,0,0,0.98,0,0.98,0.98,29.45,0.98,57.92,0.98,0,0.98,0,0,0,0,21.6,0,3.93,0.98,0,0,0,0,0,0,24.54,0
 84-94,0,0,0,0,0,0,19.12,0,24.43,1.06,0,0,0,0,0,1.06,12.74,0,3.19,1.06,0,0,0,0,0,1.06,12.74,0
 96-106,0,0,1.09,0,1.09,0,10.93,0,19.67,1.09,0,0,0,1.09,1.09,0,12.02,0,2.19,2.19,0,0,0,0,0,2.19,12.02,0
108-118,0,0,0,0,0,0.77,12.26,0,25.28,0,1.53,0,0,0,1.53,0,15.32,0,3.06,2.3,0,0,0.77,0,0,0.77,6.89,0.77
120,0,0,0,0,0,0,3.92,0,11.76,0,0,0,0,0,0,1.96,13.72,0,3.92,0,0,0,0,1.96,0,0,5.88,0
