stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,73,6,3,0,0,0
 24-34,0,0,0,1.64,0,0,6.57,113.28,0.82,0,1.64,0.82,0,0,0,0,0,0,3.28,0,0,22.98,49.25,0,0.82,0,0,0,5.75,0.82,104.25,20.52,13.95,0,0.82,0
 36-46,0,0,0,1.61,0,0,10.47,156.3,0,0,0.81,0,0.81,0,0.81,0,0,0.81,6.45,0,0,12.89,63.65,1.61,2.42,0,0,0,0,0,95.07,3.22,14.5,0,0.81,0
 48-58,0,0,0,1.15,0,0,25.82,179.6,0,0,5.16,0,0.57,1.15,0,0.57,0.57,0.57,10.33,0.57,0,12.05,77.46,0.57,0.57,0.57,0,0.57,2.87,0,90.09,0,16.64,0,1.15,3.44
 60-70,0,0,0,1.96,0,0,19.63,127.6,0,0,3.93,0,0.98,0,0,0,0,0.98,8.83,0,0,10.8,53,0.98,0,0,0.98,0,0.98,0,43.19,0,7.85,0,0,0
 72-82,0,0,0.98,1.96,0,0,11.78,111.91,0.98,0,3.93,0,0.98,0.98,0,0,0.98,0,9.82,0.98,0.98,8.83,31.41,0,0,0,0,0,1.96,0,25.52,0,1.96,0,0,0.98
 84-94,0,0,0,3.19,2.12,1.06,21.24,168.86,0,2.12,3.19,0,0,1.06,1.06,0,0,2.12,18.05,1.06,1.06,9.56,29.74,0,1.06,0,0,0,8.5,0,47.79,0,7.43,0,0,1.06
 96-106,0,0,0,3.28,4.37,0,22.95,227.31,0,1.09,8.74,2.19,1.09,3.28,0,1.09,0,0,15.3,1.09,1.09,17.49,34.97,0,0,1.09,0,0,8.74,1.09,44.81,0,1.09,2.19,2.19,0
108-118,0,0.77,0,3.06,0.77,3.06,8.43,170.04,0,0,2.3,0.77,0,1.53,0.77,0,1.53,0,9.96,0,0,17.62,22.21,0,0.77,1.53,0,0,3.06,0,41.36,0,0,0,0.77,0.77
120,0,0,0,1.96,1.96,0,5.88,84.27,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96,21.56,17.64,0,0,1.96,0,1.96,0,0,13.72,0,0,0,0,1.96
