stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,25,0,1,0,0,0,0,2,5,1,1,1,17,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,4.93,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,3.28,193.72,0,0.82,0,0,0,3.28,0,0,4.93,0,0,49.25,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,12.09,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0.81,433.45,0,0,0,0,0,2.42,0,0,0,0,0,102.32,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,46.48,0.57,0.57,0.57,8.03,0,0,0,0,0.57,0,0.57,0.57,9.18,0.57,0,1.72,669.63,0,0.57,0,0,0,1.15,0,0,0,0,0,100.99,0,0,0,0,1.15
 60-70,0,0,0,6.87,0,0,228.69,0,0,0.98,20.61,0.98,0,0,0.98,0.98,0.98,0,0,13.74,0.98,2.94,1.96,1198.44,1.96,1.96,0,0,0,5.89,0,0,0,0.98,0,168.82,0,0,0.98,0,0
 72-82,0,0,0,9.82,0,0,348.49,0.98,0.98,0.98,17.67,0.98,0,1.96,0.98,0.98,0.98,0,0.98,33.38,0.98,1.96,0.98,1157.38,0,1.96,0.98,0,0,2.94,0,0,0,0,0,92.28,0,1.96,0,0.98,0
 84-94,0,0,0,5.31,2.12,0,227.28,0,1.06,0,20.18,2.12,1.06,0,0,1.06,1.06,1.06,0,18.05,0,0,3.19,519.34,0,0,2.12,0,0,6.37,0,0,0,0,0,47.79,0,0,2.12,5.31,0
 96-106,0,0,0,6.56,5.46,0,195.62,0,1.09,2.19,16.39,0,0,1.09,3.28,0,0,0,1.09,24.04,0,3.28,1.09,500.52,0,1.09,1.09,0,1.09,8.74,0,0,0,0,0,26.23,1.09,1.09,1.09,3.28,1.09
108-118,0,0,0,9.19,2.3,0.77,146.3,0,0,0.77,16.85,0.77,0,0,0.77,0,0,1.53,0.77,16.09,0,0.77,0.77,551.49,0.77,1.53,0.77,0,0.77,1.53,0,0,0,0,0,20.68,0.77,1.53,0.77,0,0
120,0,0,0,11.76,3.92,0,186.18,1.96,0,1.96,33.32,0,0,0,3.92,0,1.96,0,0,17.64,1.96,0,0,809.39,0,3.92,1.96,0,0,7.84,0,0,0,0,0,23.52,0,0,5.88,1.96,0
