stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,9,3,2,0,0,2,1,0,0,0,0,0,0,0,6,0,0,5,56,1,0,1,2,0,0,6,1,0,10,14,0,0,1,0,0
 24-34,0.82,0,4.1,0.82,11.49,0,1.64,6.57,0,0,0,0,0.82,0,0,0,11.49,0,0,9.03,120.67,0.82,0.82,0.82,0,0,0.82,0,0,0,4.1,37.76,0,0,5.75,0,0
 36-46,0.81,0,0.81,0.81,18.53,0,1.61,10.47,0,0,0,0.81,0,0,0.81,0,8.86,0.81,0,8.06,154.69,0.81,0.81,0,0,0,0.81,0,0,0.81,0.81,54.79,0,0,3.22,0,0
 48-58,0,0,1.15,0.57,33.85,1.15,1.15,5.74,0,1.15,0,0,0,1.15,0,0,9.75,0,1.15,1.15,89.51,0,1.15,0.57,0,0,0.57,0,0,0,0,25.25,0,0,0.57,0,0
 60-70,0,0,0,0,50.06,0.98,0.98,11.78,0,0,0,0,0,0,0,0,16.69,0,0,0.98,101.1,0,1.96,0.98,0,0,0,0,0,0,0,12.76,0,0,0.98,0,0
 72-82,0,0,1.96,0,43.19,0.98,2.94,15.71,0,0.98,0.98,0,0,2.94,0,0,25.52,0,0,0.98,87.37,0,2.94,0,0,0,0,0,0.98,0.98,0,8.83,0,0.98,0.98,2.94,0
 84-94,0,0,6.37,6.37,26.55,1.06,0,11.68,0,0,0,0,0,0,0,0,21.24,0,1.06,1.06,65.85,0,0,1.06,0,0,3.19,0,1.06,0,0,7.43,1.06,1.06,1.06,0,0
 96-106,0,0,2.19,4.37,14.21,0,0,8.74,0,0,0,0,0,1.09,0,0,9.84,0,1.09,0,40.44,0,1.09,1.09,0,0,1.09,0,0,0,0,2.19,0,1.09,2.19,1.09,1.09
108-118,0,0,2.3,4.6,10.72,0,0.77,6.89,0,0,0.77,0,0,0,0,0.77,10.72,0,0.77,0.77,44.43,0.77,0,2.3,0,0.77,0.77,0,0,0,0,2.3,0,0,3.06,0,0.77
120,0,0,3.92,0,21.56,0,0,5.88,0,0,1.96,0,0,0,0,0,3.92,0,1.96,0,66.63,0,1.96,1.96,0,0,5.88,0,0,0,0,3.92,0,0,0,0,0
