stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,84,5,23,0,0,2,1,4,1,0,2,0,0,0,1,23,1,0,30,112,6,0,3,2,78,22,5,1,23,23,0,1,0,0
 24-34,0,0,3.28,1.64,36.94,0.82,0,1.64,0.82,0,0,0.82,0.82,0.82,0,0,0,10.67,0.82,0,4.1,136.26,0.82,0.82,2.46,0,6.57,0,0,1.64,0,27.09,0,3.28,0,0
 36-46,0,0,4.03,1.61,26.59,0.81,0,1.61,0.81,0,0.81,0,0,0,0,1.61,0,8.86,0,0,2.42,69.29,0,0.81,0,0,2.42,0,0,0,0,14.5,0,0,0,0
 48-58,0,0,2.87,2.87,33.85,0,0,1.72,0,0,0,0,0.57,0,0,0,0,7.46,0,0.57,0.57,28.69,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0.57
 60-70,0.98,0,5.89,1.96,39.26,0.98,0.98,0.98,0.98,0,0,0,0,0,0.98,0,0,13.74,0,0,0.98,47.11,0,0,0.98,0,0,0,0,0,0,0.98,0,1.96,0,0
 72-82,0,0,2.94,0,15.71,0,0,1.96,0,0,0,0,0,0.98,0,0,0,10.8,0,0.98,0.98,17.67,0,0,0.98,0,0.98,0,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,5.31,2.12,12.74,0,0,4.25,0,0,0,1.06,1.06,0,0,1.06,0,12.74,0,0,2.12,10.62,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,1.09,0,12.02,0,0,1.09,0,0,0,0,0,0,0,0,0,2.19,0,1.09,2.19,2.19,0,0,2.19,0,1.09,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,2.3,14.55,0,0.77,3.83,0,0,0.77,0.77,0,0,0,0.77,0,4.6,0,0.77,0.77,12.26,0.77,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0.77,0
120,0,0,1.96,5.88,15.68,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,21.56,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0
