stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,827.5,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,13.14,0,0,36.8,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,273.39,10.51,0,0,110.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,15.73,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,157.35,6.29,0,0,53.5,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,22,11,5,0,0,3,1,0,0,2,6,0,0,1,1,17,0,0,22,140,5,0,1,2,0,4,1,9,3,1,22,72,0,0,3,0,0
 24-34,0,0,0.82,3.28,9.03,1.64,19.7,0,0,4.93,0.82,0,0.82,2.46,2.46,0,0.82,0,0,17.24,1.64,0,4.93,201.93,3.28,0.82,2.46,0,0,9.85,0,0,1.64,0.82,0.82,64.03,0,0,2.46,0,0
 36-46,0,0,0,0,4.03,0,56.4,1.61,1.61,8.86,0,0.81,0,2.42,0,0,0,0,0,30.62,0,0.81,9.67,288.43,4.03,2.42,1.61,0,0,13.7,0,0,1.61,0,0,89.43,0,0,4.83,0,0.81
 48-58,0,0,0,0.57,2.3,0,52.22,0.57,0.57,13.2,0.57,0,0,1.72,0,0,0.57,0,0,26.4,0.57,0.57,4.59,145.17,1.15,1.15,1.15,0,0,6.89,0,0,0.57,0,0,35,0,0,2.87,0,1.72
 60-70,0,0,0,0,6.87,0,59.87,0,0.98,6.87,0,0,0,4.91,0.98,0,0,0,0.98,27.48,0.98,1.96,5.89,100.12,0.98,0,0,0,0,4.91,0,0,0,0.98,0,23.56,1.96,0,0.98,0,0.98
 72-82,0,0,0.98,0,2.94,1.96,66.75,0,3.93,14.72,0.98,0,0.98,2.94,1.96,0.98,0,0,0,50.06,1.96,2.94,3.93,158.05,1.96,4.91,2.94,0,0,4.91,0,0,0,0,0,14.72,7.85,0,1.96,0,0
 84-94,0,0,1.06,0,10.62,1.06,31.86,0,2.12,6.37,2.12,0,2.12,6.37,4.25,1.06,0,0,0,41.42,0,0,6.37,57.35,5.31,5.31,6.37,0,0,29.74,0,0,1.06,0,0,3.19,10.62,1.06,3.19,0,0
 96-106,0,0,1.09,0,5.46,0,28.41,1.09,0,7.65,4.37,0,0,8.74,3.28,0,3.28,0,0,33.88,2.19,3.28,4.37,49.18,3.28,2.19,3.28,0,1.09,15.3,0,0,0,0,0,1.09,1.09,2.19,6.56,3.28,0
108-118,0,0,0,0,18.38,3.06,29.11,0.77,1.53,9.96,6.89,0,0,12.26,0.77,0,2.3,2.3,2.3,37.53,1.53,0,3.83,80.43,10.72,2.3,2.3,0,0.77,16.85,0,0,0,0,0,3.06,3.83,0.77,3.06,0.77,2.3
120,0,0,0,0,13.72,7.84,35.28,0,1.96,3.92,3.92,0,0,17.64,0,0,0,1.96,0,25.48,0,1.96,0,56.83,15.68,1.96,3.92,0,1.96,15.68,0,0,0,0,0,0,5.88,0,0,1.96,0
