stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,9.44,0,3.15,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,2
 24-34,0,0,0,0,0,0,9.85,0,0,0,0,0,0,4.93
 36-46,0,0,0,0,0,0,15.31,0,0,0,0,0,0,1.61
 48-58,0,0,2.3,0.57,0.57,0.57,16.07,0,0,0,0,0.57,0,4.59
 60-70,0,0,2.94,0,1.96,0.98,36.32,0,0,0.98,0,0,0,8.83
 72-82,0,0,11.78,0,4.91,0,41.23,0,0.98,0,0,0.98,0,2.94
 84-94,0,0,3.19,0,0,1.06,16.99,0,0,0,0,0,0,1.06
 96-106,0,1.09,2.19,1.09,3.28,0,20.76,0,0,0,0,0,0,1.09
108-118,0,0,2.3,0,3.06,0.77,21.45,0,0,0,0,0,0,0
120,0,0,3.92,0,5.88,0,21.56,0,0,0,0,0,0,0
