stage,blastomeres,endocrine_pancreas,eye,glial,mesenchyme,mucous,mural_cell,neural,olfactory,pericytes,spinal_cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,1.64,0,0,0,1.64,0.82,0,2.46,0
 36-46,0,0,0,0,0,0,0.81,4.03,0,0,1.61,0.81
 48-58,0,0,0.57,0.57,0,0,0,0.57,0,0,1.15,0
 60-70,0,0,1.96,0,0,0,0,1.96,0,0,0.98,0
 72-82,0,0,0.98,0.98,1.96,0,0,1.96,0,0,0,0
 84-94,0,0,2.12,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,5.46,0,0,0,0,1.09,1.09,1.09,0,0
108-118,0,0.77,4.6,0,0,0.77,0,2.3,0.77,0,0,0
120,0,0,1.96,0,0,0,0,1.96,0,0,0,0
