stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,1146.48,19990.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.39,0,0,0,0,0,0,0,0,0,0
  5-6,1299.48,15446.68,18.39,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,416.82,18.39,0,0,122.59,0,447.46,0,0,0,0,0,0,0,0,0,0
  7-9,186.64,152.47,244.47,0,0,431.11,0,0,0,0,0,202.41,0,0,0,0,0,0,0,0,0,4405.72,162.98,0,0,1653.46,0,10.51,26.29,0,0,0,0,0,0,0,0,0
 10-12,3.15,50.35,100.7,0,12.59,248.61,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,3.15,1535.72,66.09,0,0,660.86,0,6.29,15.73,3.15,50.35,0,6.29,6.29,0,0,0,0
 14-21,0,0,0,59,8,7,0,0,0,5,4,3,1,0,0,0,0,1,14,0,10,163,9,1,2,3,0,5,1,36,3,3,25,51,0,0,0,0
 24-34,0,0,0,4.1,0.82,3.28,0,0.82,0,2.46,0,0,0,0,0,0,0,1.64,6.57,0.82,2.46,45.97,2.46,0,0,0,0,9.03,0,0,0,0,0,12.31,0,0,1.64,0
 36-46,0,0,0,0.81,0,4.03,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,24.98,0.81,0,0,0,0,3.22,0,0,0.81,0,0,3.22,0,0,0.81,0.81
 48-58,0,0,0,0,0,9.75,0,0,0.57,2.87,0,0,0,0,0.57,0,0,0.57,5.16,0,1.15,24.67,1.72,0,0,0,0.57,0,0,0,0,0,0,6.31,0,0,0.57,0
 60-70,0,0,0,1.96,0,10.8,1.96,0,0,0.98,0,0,0.98,0,0,0,0,0,5.89,0,0,18.65,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,7.85,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0,6.87,0.98,0.98,19.63,0,0.98,0,0,0,0.98,0,0,0.98,0,0,1.96,0,0,0,0
 84-94,0,0,0,2.12,1.06,8.5,0,0,0,2.12,0,0,0,0,1.06,1.06,0,0,2.12,0,0,7.43,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,1.09,0,0,0,1.09,0,0,0,0,5.46,0,0,7.65,0,0,0,0,0,2.19,0,0,0,0,0,1.09,1.09,1.09,0,0
108-118,0,0,0,0.77,0,3.83,0,0,0,0,0.77,0,0,0,0,0,0,0,3.06,0.77,0,9.96,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,5.88,0,3.92,0,1.96,0,3.92,0,0,0,1.96,1.96,0,1.96,0,0,0,1.96,17.64,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0
