stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0.82,1.64,0.82,0,1.64,0,0.82,0,0,0,0,0,0,2.46,0,0,0.82,10.67,0,0.82,0.82,0,1.64,0,0,0.82,11.49,0,0,1.64,0,0.82
 36-46,0,0,3.22,0,1.61,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,29.81,0,0.81,0,0,0.81,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,1.72,0,6.31,0,1.15,5.16,0,0,0,0,0,0,0.57,0,0,0.57,47.63,0,1.72,0,0,1.15,0,0,0,4.02,0,0,1.15,0,0
 60-70,0,0,0,0,14.72,0,0.98,6.87,0,0,0,0,0,0.98,4.91,0,0,0.98,66.74,0,1.96,0,0,0.98,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,0,23.56,0,0,14.72,0.98,0,0,0.98,0,0,4.91,0,0.98,0,80.5,0,1.96,0,0,0,0,0,0,2.94,0.98,0,2.94,0,0.98
 84-94,0,1.06,4.25,1.06,15.93,0,0,3.19,0,1.06,0,0,1.06,1.06,7.43,1.06,0,0,42.48,1.06,1.06,1.06,0,1.06,0,0,0,3.19,0,0,2.12,1.06,0
 96-106,0,0,1.09,0,12.02,0,0,2.19,0,0,1.09,0,0,0,4.37,0,1.09,0,41.53,0,3.28,1.09,0,2.19,0,0,0,1.09,1.09,0,1.09,0,0
108-118,0,0,2.3,0,9.19,1.53,0,3.06,0.77,0,0,0,2.3,0,6.89,0,0,0,44.43,0.77,0.77,0,0,0.77,0.77,0.77,0,1.53,0,1.53,1.53,0,0
120,0,0,7.84,0,5.88,0,0,5.88,3.92,0,0,1.96,0,0,0,0,0,3.92,47.03,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0
