stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.07,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,5.75,0,0,1.64,0,0,0,3.28,0,0,4.93,0,0,0,0.82,4.1,0,0.82,4.93,0,4.93,0,0,0,11.49,0,0,2.46,2.46,0,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0.81,0,0,3.22,0,0,0,0,0.81,0,0.81,4.83,0,7.25,0.81,0,0,14.5,0,0,3.22,2.42,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,2.3,0.57,0,0,0,0,0,6.31,0,1.15,0,0,4.59,0,1.15,2.3,0,5.74,1.72,0,0,7.46,0,0,3.44,1.72,0,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,0.98,0.98,0,0.98,0,0,9.82,0,5.89,1.96,0,12.76,0,0,3.93,0,9.82,2.94,0,0,3.93,0,0,2.94,0.98,0,0,0,0
 72-82,0,0,0,2.94,0,0,5.89,0.98,0,0,3.93,0,0,17.67,0.98,7.85,22.58,0,20.61,0.98,0,4.91,0,12.76,7.85,0,0.98,2.94,0,0,0.98,1.96,0,0,0,1.96
 84-94,0,0,0,1.06,1.06,0,3.19,0,0,1.06,0,2.12,0,29.74,0,8.5,99.83,0,25.49,0,1.06,6.37,0,12.74,4.25,0,0,3.19,0,0,2.12,0,1.06,0,0,0
 96-106,0,0,3.28,1.09,1.09,1.09,12.02,4.37,2.19,0,5.46,3.28,0,38.25,0,25.14,300.53,1.09,17.49,0,0,40.44,0,24.04,10.93,0,0,4.37,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,1.53,3.06,0,4.6,1.53,0.77,0,0.77,0.77,0,26.81,0.77,9.19,394.47,0,4.6,0,0.77,27.57,0,16.85,3.83,0,0.77,1.53,0,0,1.53,2.3,0.77,0,0,0
120,0,0,0,0,0,0,3.92,1.96,0,0,3.92,1.96,1.96,31.36,0,7.84,150.9,0,3.92,0,0,21.56,0,9.8,3.92,0,0,0,0,1.96,0,0,0,0,0,0
