stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,7.89,5.26,0,15.77,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,22.03,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,5.64,0,0,0,0,1.61
 48-58,0,0,0,3.44,0,0,6.31,0,0,0,0,2.3
 60-70,0,0.98,0,42.21,0,1.96,4.91,0,0,0,0,0
 72-82,0,0,0,52.03,0.98,0.98,7.85,0,0,0,0.98,0
 84-94,0,0,0,24.43,0,1.06,2.12,0,0,0,0,0
 96-106,0,0,0,30.6,0,0,5.46,0,1.09,0,0,0
108-118,0,0,0.77,12.26,0,0.77,0.77,0,0,0,0,0
120,0,0,0,7.84,0,3.92,0,0,0,0,0,0
