stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,8,5,0,1,0,0,1,0,1,0,1,4,0,0,0,0,3,0,0,0,29,0,0,1,0,1,2,1,1,29,0,0,3,0,0
 24-34,0.82,0,7.39,1.64,0,3.28,0,0,2.46,0,0.82,0,0.82,5.75,0,1.64,0,1.64,3.28,0,0,3.28,59.1,0.82,4.1,1.64,0,21.34,0,2.46,0,27.91,0,0,2.46,0,0.82
 36-46,0,0,0.81,0,0,5.64,0,1.61,5.64,2.42,0.81,0,4.03,0,0,0,0,0,14.5,0.81,0,6.45,45.92,0.81,4.03,0,0,17.72,0,0.81,0,23.36,0,0,0,0,0.81
 48-58,0,0,1.15,0,0,5.74,1.72,1.15,9.18,0.57,0.57,0.57,1.15,0.57,0.57,1.15,0,0.57,17.21,1.15,0,0.57,26.4,0.57,3.44,0,0,8.03,0,0,0,13.2,0,0,1.15,0,1.72
 60-70,0,0,9.82,0,0,15.7,0.98,1.96,24.54,0,0,0,5.89,0.98,0,0,0,0,35.33,0.98,1.96,6.87,28.46,0,3.93,1.96,0,26.5,0,0.98,0,5.89,0,0,1.96,0,2.94
 72-82,1.96,0,4.91,0,0,12.76,0.98,2.94,22.58,0.98,0,0,2.94,0.98,0,0.98,0.98,1.96,56.94,3.93,0,2.94,22.58,0,7.85,2.94,0,14.72,0,0.98,0,4.91,1.96,0,2.94,0,0.98
 84-94,1.06,0,13.81,3.19,1.06,11.68,3.19,0,16.99,7.43,1.06,0,3.19,4.25,1.06,2.12,1.06,1.06,36.11,2.12,2.12,6.37,24.43,0,7.43,1.06,0,48.85,0,1.06,0,6.37,0,2.12,4.25,1.06,2.12
 96-106,2.19,0,14.21,0,1.09,6.56,1.09,1.09,22.95,4.37,0,0,6.56,6.56,1.09,1.09,1.09,0,34.97,2.19,1.09,4.37,15.3,0,7.65,2.19,1.09,68.85,0,1.09,0,1.09,1.09,1.09,4.37,0,0
108-118,2.3,0,14.55,0.77,0,9.19,8.43,1.53,12.26,6.13,0,0.77,9.96,3.06,3.06,1.53,4.6,0.77,39.83,0.77,2.3,3.06,19.15,0.77,5.36,0,0,29.11,0,0,0,0.77,2.3,1.53,6.13,0,0.77
120,0,0,15.68,3.92,1.96,5.88,3.92,0,9.8,5.88,0,1.96,5.88,3.92,0,0,7.84,0,15.68,1.96,1.96,1.96,15.68,1.96,1.96,0,0,37.24,0,0,0,0,0,0,5.88,0,0
