stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,197,1,0,0,0,0,1,2,0,0,13,0,0,1,0,0
 24-34,0,0,4.1,4.93,0.82,0,3.28,2.46,0,0,0,0,0,0.82,0,0,0,3.28,0,0,2.46,0,0,5.75,142.01,42.68,10.67,0,0,0,4.1,0,0,0,5.75,41.86,0,0,4.1,0,0
 36-46,0,0,0,1.61,1.61,0,17.72,14.5,0.81,0,2.42,0,0,0,0,0,0,0.81,0,0,2.42,0,0,2.42,491.46,24.98,17.72,0,0,0,2.42,0,0,0,4.03,92.65,0,0,5.64,0,0.81
 48-58,0,0,0,2.3,0,0,73.45,13.77,1.15,0.57,8.61,0,1.15,0,0,0,0,3.44,0,0.57,8.61,0,0,1.72,584.13,12.05,7.46,0.57,0,0,0.57,0,0,0,6.31,108.45,0,0,3.44,0,0
 60-70,0,0,0,7.85,0.98,0,138.39,17.67,0.98,0,10.8,2.94,0,5.89,0.98,0,0.98,0.98,0.98,0.98,26.5,0,0,3.93,850.98,16.69,10.8,0.98,0,0,2.94,0,0,0,2.94,119.75,0,0.98,8.83,0,0
 72-82,0,0,0.98,1.96,0,0,114.85,7.85,0,2.94,12.76,2.94,0,6.87,0.98,0,0.98,5.89,0,0,63.81,0.98,0,3.93,524.21,7.85,12.76,0,0,0,1.96,0,0,0,3.93,45.16,0.98,0,21.6,0,0
 84-94,0,0,0,7.43,2.12,0,86.03,7.43,2.12,3.19,14.87,12.74,0,4.25,0,1.06,3.19,3.19,0,2.12,44.61,0,0,6.37,271.88,21.24,7.43,2.12,0,0,3.19,0,0,1.06,5.31,35.05,1.06,1.06,24.43,0,0
 96-106,0,0,3.28,18.58,2.19,0,56.83,21.86,1.09,2.19,20.76,26.23,0,5.46,1.09,0,1.09,7.65,0,0,69.94,1.09,0,14.21,248.08,17.49,13.11,2.19,0,1.09,14.21,0,0,0,8.74,14.21,5.46,1.09,31.69,1.09,1.09
108-118,0.77,0,0,22.98,0,1.53,51.32,22.21,0.77,5.36,21.45,25.28,0,2.3,0.77,0.77,3.06,7.66,0,3.83,58.21,0,0.77,13.02,273.45,26.81,14.55,3.06,0,0,6.89,0,0,0,12.26,13.79,9.19,0.77,26.81,0,0
120,0,0,0,19.6,0,0,33.32,37.24,5.88,0,23.52,17.64,0,5.88,0,3.92,0,1.96,0,1.96,58.79,0,0,7.84,276.33,54.87,9.8,0,0,0,3.92,0,0,0,11.76,17.64,5.88,0,33.32,1.96,0
