stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,otic,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,2.3,0,0,0,0,0,0,0.57,0,0,2.3
 60-70,0,0,5.89,0,0,0,0.98,2.94,0,0,0,0.98,2.94
 72-82,0,0,3.93,0,0,0,2.94,4.91,0,0,0.98,0,2.94
 84-94,0,0,5.31,0,1.06,0,3.19,2.12,1.06,0,0,0,1.06
 96-106,0,1.09,12.02,3.28,0,0,7.65,7.65,0,0,0,0,2.19
108-118,0,0,3.83,0,0,0,8.43,0.77,0,0,0.77,0,2.3
120,0,0,3.92,0,0,0,7.84,0,0,0,3.92,0,1.96
