stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,15.73,25.18,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14,2,6,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,1,0,16,9,1,0,0,0,0,1,0,1,9,0,0,0,0
 24-34,0,0,9.85,0,0.82,0,0,0.82,0,2.46,0,0,0,0,0.82,0,0,0,0,0.82,0,2.46,0,0,9.03,0.82,0,0,0,0,0,0,0,0.82,5.75,0,0,0,0
 36-46,0,0,12.09,0,0,0,0,4.03,0,0,3.22,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0,27.39,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,7.46,0,0.57,0,0,5.16,0,0,0.57,1.15,0,0,0,0,0,0,0,9.18,0,3.44,0,0.57,30.41,0,0,0,0,0,0,0,0,0,9.18,0,0,0,0
 60-70,0,0,3.93,0,0,0,0,4.91,0,0,1.96,0,1.96,0,0,0,0,0,0,19.63,0,3.93,0,0.98,24.54,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0.98
 72-82,0,0,31.41,0,0,2.94,0,11.78,0,0.98,0.98,8.83,10.8,0,0,0,0.98,0,0.98,60.86,0,13.74,0,0,66.75,0,0.98,0.98,0,0,2.94,0,0,0,6.87,0.98,0,0.98,1.96
 84-94,0,0,27.61,0,2.12,1.06,0,13.81,0,0,1.06,1.06,11.68,0,0,1.06,0,0,1.06,160.37,0,15.93,0,3.19,36.11,0,0,0,0,0,3.19,0,0,0,4.25,0,1.06,0,1.06
 96-106,0,0,31.69,0,2.19,2.19,1.09,7.65,0,1.09,0,2.19,20.76,0,0,1.09,0,0,0,55.74,0,4.37,0,1.09,26.23,0,0,2.19,0,0,2.19,0,0,0,4.37,1.09,2.19,0,1.09
108-118,0,0,29.87,0.77,2.3,2.3,3.06,11.49,0.77,0,0.77,3.06,11.49,0,0,0.77,0,0.77,0.77,494.81,0.77,11.49,0,0.77,61.28,0,1.53,0.77,0,0.77,6.13,0,1.53,0,1.53,0.77,0,0.77,0.77
120,0,0,17.64,0,0,1.96,0,7.84,0,0,0,0,7.84,0,0,0,0,0,0,72.51,0,3.92,0,3.92,37.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
