stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1357.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1385.3,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,57.83,0,34.17,0,0,0,131.44,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,1080.4,34.17,0,0,320.7,0,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,0,37.76,0,0,0,78.67,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,689.19,25.18,0,0,330.43,0,3.15,0,6.29,44.06,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,3,18,12,0,18,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,7,169,1,0,1,4,0,5,1,41,1,0,47,40,0,0,0,0
 24-34,0,0,0.82,1.64,2.46,0.82,0,29.55,0,0,0,3.28,0,0,0,0,0,0,0,0,0.82,13.95,0,0.82,6.57,128.87,1.64,1.64,0.82,0,0,6.57,0,0,0,0,6.57,26.27,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,22.56,0,0.81,0,3.22,0,0,0.81,0,0,0,0,0,0,13.7,0,0,4.03,103.93,1.61,0,1.61,0,0,4.03,0,0,0.81,0,0.81,24.17,0,2.42,0,0.81
 48-58,0,0,0,0,2.87,0,0,30.41,1.15,1.15,0.57,10.33,0,0,0,0.57,0.57,0.57,0,0.57,0,13.77,0.57,1.15,5.74,89.51,0,1.15,0,0,0,2.3,0,0,0.57,0,0,19.51,0,1.72,0,0
 60-70,0,0,0,0,3.93,0,0,37.3,0.98,0,1.96,8.83,0,0,0.98,0,0.98,0,0.98,0,0,22.58,0.98,0.98,0.98,88.34,0,0,0,0,0,3.93,0,0,0,0,0,15.7,0,3.93,0,0
 72-82,0,0,0,0,2.94,5.89,0,23.56,0.98,0,0.98,12.76,0,0,0,0.98,0,0,2.94,0,0,21.6,0,0.98,5.89,78.53,0,1.96,0.98,0,0,0.98,0,0,0,0,0,2.94,1.96,2.94,1.96,0
 84-94,0,0,0,0,2.12,4.25,0,23.36,0,2.12,0,5.31,1.06,0,0,2.12,0,1.06,0,1.06,0,15.93,0,2.12,2.12,41.42,0,0,2.12,0,0,22.3,0,0,1.06,1.06,0,2.12,1.06,4.25,0,0
 96-106,0,0,1.09,0,7.65,4.37,1.09,10.93,1.09,0,0,6.56,1.09,0,0,2.19,0,1.09,0,0,0,14.21,1.09,1.09,2.19,29.51,0,1.09,0,0,0,20.76,0,0,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0,0.77,10.72,2.3,2.3,16.85,0,3.83,2.3,13.79,2.3,0,0,1.53,0.77,0.77,0.77,0,0,12.26,0,1.53,9.19,31.4,0,1.53,0,0,0.77,18.38,0,0,0.77,1.53,0,0,0.77,4.6,0,0
120,0,0,0,0,17.64,3.92,1.96,11.76,1.96,5.88,0,5.88,0,0,0,7.84,0,0,1.96,0,0,9.8,0,0,3.92,54.87,0,0,1.96,0,0,13.72,0,0,0,0,0,1.96,1.96,0,0,0
