stage,blastomeres,epidermis,erythrocytes,fin_epithelia,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
 24-34,0,0,0,0.82,0,0,0,0.82,0.82,0.82,1.64,0,0,1.64,0.82,12.31
 36-46,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,1.61,0,5.64
 48-58,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0.57,0.57,0,4.59
 60-70,0,1.96,0,0,0,0,1.96,3.93,0,0,0.98,0.98,0,4.91,0,5.89
 72-82,0,0.98,0,0,0,0,0.98,0.98,0,0,0.98,0,0,5.89,0,7.85
 84-94,0,1.06,0,0,1.06,0,1.06,5.31,0,0,1.06,0,1.06,6.37,0,6.37
 96-106,0,0,1.09,0,0,1.09,0,7.65,0,0,2.19,0,1.09,10.93,0,6.56
108-118,0,1.53,0,1.53,0,0,0.77,4.6,0,0,0,0,0,6.13,0,4.6
120,0,1.96,0,1.96,0,0,1.96,11.76,0,0,0,0,0,11.76,0,3.92
