stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,5.26,0,26.29,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,70.98,39.43,0,0,381.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,31.47,0,0,59.79,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,1,0,1,1,0,1,14,0,0,0,0
 24-34,0,0,0,0,0.82,3.28,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,17.24,1.64,0,0,0,0,0,0,0,0.82,6.57,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0,68.48,0,0,0.81,0,0,0,0,0,0,9.67,0,0,0,0
 48-58,0,0,0,0,0.57,12.05,0,1.72,1.72,0.57,0,0,0,0,0,0,0,1.72,0,0,1.15,135.42,0,0,1.15,0,0,0,0,0,0,13.2,0,0.57,0,0
 60-70,0,0,0,0,0,51.04,0,0,3.93,0,0,0,0,0,0,0,0,9.82,0,0,0.98,265.01,0,0,0.98,0,0.98,0,0,0,0,18.65,0.98,0,0,0
 72-82,0,0,0,0,3.93,175.72,0,0.98,14.72,0,0,0,0.98,0.98,0.98,0.98,0,23.56,0,1.96,1.96,331.8,0,0.98,3.93,0,0,0,0,0,0,21.6,0.98,0,0.98,0
 84-94,0,0,0,0,3.19,123.2,0,1.06,15.93,0,0,1.06,0,0,1.06,0,0,12.74,0,1.06,0,166.74,1.06,0,3.19,0,0,0,0,0,0,12.74,1.06,0,3.19,0
 96-106,0,0,1.09,0,2.19,157.37,0,1.09,15.3,0,0,0,2.19,0,0,2.19,0,17.49,2.19,2.19,0,137.7,0,0,5.46,0,4.37,0,0,0,0,10.93,2.19,0,2.19,0
108-118,0,0,0.77,0,4.6,111.83,0,0.77,9.19,0,0,0,0.77,0,0,0.77,1.53,22.98,0,0,0.77,206.81,0,0,2.3,0,0.77,0,0,0,0,7.66,0,0.77,0.77,0
120,0,0,0,0,5.88,50.95,0,0,7.84,1.96,0,0,3.92,0,0,0,1.96,19.6,0,1.96,1.96,170.5,0,0,1.96,0,0,0,0,0,0,7.84,1.96,1.96,0,1.96
