stage,axial,blastomeres,epidermis,eye,glial,immune,liver,mesenchyme,neural,notochord,otic,paraxial_mesoderm,spinal_cord
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,6.29,3.15,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,12.31,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,15.31,0,0,0,0
 48-58,0,0,0,5.74,0,0,0,0,10.33,0,0,0,1.72
 60-70,0,0,0,18.65,0.98,0,0,0.98,26.5,0,0,0,0.98
 72-82,0,0,0,5.89,0,0,0.98,0,40.25,0,0,0,0.98
 84-94,0,0,1.06,5.31,1.06,0,0,0,20.18,0,1.06,0,0
 96-106,0,0,0,4.37,0,0,0,1.09,13.11,0,0,0,4.37
108-118,0,0,0.77,3.06,0.77,0.77,0,0,25.28,0,0,0,2.3
120,0,0,0,1.96,0,0,0,0,15.68,0,0,0,0
