stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,6.29,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,6,1,0,0,0,2,0,0,0,0,0,1,2,0,0,6,38,1,0,3,0,0,0,0,3,0,10,15,0,0,0,0
 24-34,0,0,1.64,1.64,0,0,0,0,1.64,0,1.64,0,0,0,0,0.82,0,0,0,26.27,0,0.82,0,0,0,1.64,0,0,0,0,4.93,0,0.82,0,0
 36-46,0,0,0,1.61,0,3.22,0,0,0,0,0,0,0,0,0,4.03,0,0,3.22,32.23,0,0,0,0,0,1.61,0,0,0,0,13.7,0,0,0,0
 48-58,0,0,0,1.72,0,14.35,0,0,4.59,0,0.57,0,0,0,0,10.9,0,0,2.87,60.25,0,0.57,0.57,0,0,1.15,0,0,0,0,12.62,0,1.15,0,0
 60-70,0,0,0,0,0,7.85,1.96,0.98,5.89,0,0,0,0,0,0,5.89,0,0,0,30.43,0,0,0,0,0,1.96,0,0,0,0,4.91,0,1.96,0,0
 72-82,0,0,0,0.98,1.96,19.63,0,1.96,4.91,0,0,0.98,0,0,0,25.52,0.98,2.94,2.94,106.02,0,0,1.96,0,0,6.87,0,0,0,0,12.76,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,2.12,7.43,0,0,2.12,1.06,0,2.12,0,2.12,0,12.74,0,0,1.06,32.92,0,1.06,0,0,0,6.37,0,0,0,0,3.19,0,2.12,0,0
 96-106,0,0,0,0,3.28,6.56,2.19,0,4.37,0,0,1.09,0,0,0,6.56,0,2.19,0,28.41,0,1.09,1.09,0,0,9.84,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,2.3,0,6.13,0,1.53,3.06,0,0,1.53,0,0.77,0,9.96,0.77,0.77,0.77,28.34,0,0.77,1.53,0,0.77,6.13,0,0,0,0,3.83,0.77,2.3,1.53,0.77
120,0,0,0,0,0,11.76,0,0,0,0,0,0,1.96,0,0,13.72,0,1.96,1.96,43.12,0,0,1.96,0,0,9.8,1.96,0,0,0,1.96,0,1.96,1.96,0
