stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0
 24-34,0,1.64,0,0.82,0,0,0,0,0,0,0,0,1.64,2.46,2.46,0,0,0,4.1,0.82,0.82,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,0,1.61,1.61,4.03,0.81,0,0,3.22,0,0.81,0.81,0
 48-58,0,1.15,0,0.57,0,0,0,0,0,0,0,0,8.61,3.44,2.87,0.57,0,0,1.72,0,0.57,0.57,0
 60-70,0,0.98,0,0,0,1.96,0,0.98,0,0,0.98,0.98,3.93,3.93,0.98,0,0,0,1.96,0,0,0,0.98
 72-82,0,0,0,0,0,0,0.98,0,0.98,0,0,0,18.65,1.96,0.98,0,0,0,0.98,0,0,2.94,0.98
 84-94,0,2.12,0,0,1.06,0,0,2.12,0,0,0,1.06,6.37,1.06,1.06,0,0,1.06,9.56,1.06,0,0,0
 96-106,0,3.28,0,2.19,0,0,0,4.37,2.19,1.09,0,0,6.56,1.09,1.09,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,1.53,0,1.53,0,0,0,0,5.36,0,1.53,0.77,0.77,0,2.3,0,0,1.53,0
120,0,3.92,0,0,0,0,0,1.96,0,0,0,0,9.8,0,0,1.96,0,0,0,0,0,0,0
