stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,6.13,0,0,0,0,0,0,6.13,0,12.26,6.13,0,0,0,0,0
  7-9,5.26,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0,42.06,5.26,23.66,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,2.46,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,6.31,0,1.72,0,0,0,0,2.87,0,0.57,0,4.02,0,0,0.57,0,0,2.3,0,0
 60-70,0,0,0,0,2.94,0,1.96,0,0,0,0,0.98,0,0,0,3.93,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,2.94,0,0.98,0,0,0,0,2.94,0,0,0,9.82,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,2.12,0,0,0,0,0,0,3.19,0,0,0,2.12,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,4.6,0.77,0,0,0,0,0,0.77,0,0,0.77,2.3,0,0,0,0,0.77,0.77,0,1.53
120,0,0,0,1.96,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
