stage,axial,blastomeres,endocrine_pancreas,erythrocytes,eye,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,neural,notochord,olfactory,otic,pronephros,spinal_cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,4.93,0,0,5.75,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,4.03,0,0,3.22,0,2.42,0.81
 48-58,0,0,0,0,0,0,1.72,0,2.87,0,4.59,0,0,4.59,0,0,0
 60-70,0,0,0,0,0,0,0,0,7.85,0.98,2.94,0,0,14.72,0,0,0
 72-82,0,0,0,0,0,0,0,0,16.69,0.98,0.98,0,0.98,38.28,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,1.06,15.93,1.06,2.12,0,0,53.1,0,0,0
 96-106,0,0,0,0,0,0,0,0,29.51,1.09,4.37,0,0,64.48,0,0,0
108-118,0,0,0.77,0,0,0,1.53,0,22.21,0,3.83,0,0,39.06,0,0,0
120,0,0,0,1.96,0,0,0,0,17.64,0,1.96,0,0,29.4,0,0,0
