stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,2,3,5,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,7.39,0,0,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0.81,0,1.61,0.81,5.64,0,0.81,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,1.15,0,0,2.3,0,0,0.57,0,0,0,0,0,0.57,0,5.16,0,0,0,0,0,0,0,1.72,1.15,0
 60-70,0,0,0,0.98,0,0,3.93,0,0,2.94,0,0.98,0,0,0,3.93,0.98,8.83,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,3.93,0,0,1.96,0,0,0,0.98,0.98,9.82,0.98,10.8,0.98,0,0,0,0.98,0,0,0.98,0,0.98
 84-94,0,0,0,3.19,1.06,0,5.31,0,0,2.12,0,0,0,0,0,4.25,1.06,3.19,0,0,0,0,3.19,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,2.19,0,1.09,1.09,1.09,0,0,0,0,4.37,1.09,6.56,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,1.53,0,2.3,0,0.77,4.6,0.77,0,3.83,0.77,0,0.77,0,0,4.6,1.53,3.83,0,0.77,1.53,0,0.77,0,0,1.53,1.53,0
120,0,0,0,1.96,0,0,1.96,1.96,0,1.96,0,0,1.96,0,0,9.8,1.96,7.84,0,1.96,0,0,0,0,0,0,3.92,0
