stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,15.6,0.82,0,0,6.57
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,30.62,0.81,0,0,8.06
 48-58,0,0,0,0.57,0,2.87,0,0.57,0,0,0,0.57,39.59,0.57,0,0,9.75
 60-70,0,0,0.98,0,0,12.76,0.98,1.96,0,0,0.98,2.94,72.63,0,0,0,10.8
 72-82,0,0,0,0.98,0,16.69,0.98,0.98,0,0,0,0.98,50.06,0.98,0,0,3.93
 84-94,0,0,0,0,1.06,10.62,2.12,4.25,0,0,0,2.12,31.86,0,0,0,1.06
 96-106,0,0,0,0,0,6.56,1.09,1.09,0,0,0,0,30.6,0,2.19,0,1.09
108-118,0,0,0,0,0.77,4.6,0,3.06,0.77,0.77,0.77,0,32.17,0.77,0,0.77,0
120,0,0,0,1.96,0,0,1.96,5.88,0,0,0,1.96,25.48,0,0,0,1.96
