stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,2.63,0,0,7.89,0,0,0,0,0,107.78,0,0,0,34.17,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,34.62,0,0,0,12.59,0,0,6.29,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,4.93,0,0.82,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0.81,0,0,2.42,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,0,0,1.06,0,1.06,1.06,0,0,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0,1.09
108-118,0,0,0,2.3,0,0,0,0.77,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,0
