stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,668.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,13.14,0,0,7.89,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,331.22,10.51,0,0,105.15,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,12.59,0,0,37.76,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,207.7,9.44,0,0,88.12,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,3,56,26,28,0,0,11,2,2,1,0,1,0,1,0,1,34,0,12,360,10,0,4,6,0,4,39,1,1,42,152,0,15,0,1
 24-34,0,0,0.82,10.67,0,21.34,0,0,7.39,0,0,0,0,0,0.82,0.82,0.82,0,30.37,0,11.49,210.14,0,3.28,1.64,0.82,0,20.52,0.82,0,0.82,3.28,45.97,0,9.85,0,0.82
 36-46,0,0,0,1.61,0,19.34,0,0.81,6.45,0.81,0,0,0,0,0,0.81,0,0,24.98,1.61,11.28,103.93,0,4.83,0.81,0,0,4.83,0,0,0,0,28.2,0,4.03,0,0
 48-58,0,0,0,0,0.57,21.23,0.57,2.3,8.03,0,0,1.15,0,0,0,0,0,0,25.25,1.72,2.3,47.05,0.57,3.44,0,0,0,2.3,0,0,0,0,9.75,0,2.87,0,0.57
 60-70,0,0,0,0,0,15.7,0.98,0,1.96,0,0.98,0,0,0,0,0,0,0,32.39,0,3.93,19.63,0,2.94,0.98,0,0,3.93,0,0,0,0,2.94,0.98,4.91,0,0
 72-82,0,0,0,1.96,0,15.71,0,1.96,4.91,0,0,3.93,0.98,0,0.98,0,0,0,36.32,0.98,4.91,34.36,0,15.71,0.98,0,0,1.96,0,0,0,0,0.98,1.96,10.8,0.98,0
 84-94,0,0,0,2.12,0,5.31,0,0,2.12,0,0,1.06,1.06,0,0,0,0,0,11.68,1.06,1.06,22.3,1.06,3.19,0,0,0,0,0,1.06,0,0,0,1.06,11.68,0,0
 96-106,0,0,0,1.09,0,7.65,1.09,1.09,4.37,0,0,3.28,1.09,0,0,0,0,0,21.86,0,0,10.93,0,20.76,0,0,1.09,2.19,0,0,0,0,1.09,1.09,12.02,1.09,0
108-118,0,0,0,2.3,0,7.66,0,0,3.83,0,0,1.53,1.53,0,0,0,0,0,18.38,0,0.77,13.79,0,7.66,0,0,0,3.06,0,0,0,0,0,1.53,6.13,0,0.77
120,0,0,0,1.96,0,1.96,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,13.72,0,5.88,15.68,0,7.84,0,0,1.96,3.92,0,0,0,0,0,0,1.96,0,1.96
