stage,endocrine_pancreas,eye,glial,gut,hatching_gland,heart,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0.82,0,5.75,0,0,0,0,0,4.1,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,11.28,0,0,0,0,0.81,0,0,0
 48-58,0.57,1.72,0.57,0,0,0,0,0,0,0,15.49,0,0,0,0,0,1.15,0,0
 60-70,0,4.91,0,0,0,0,0,0,0,0,16.69,0,0,0.98,0,0,1.96,0,0
 72-82,0,5.89,1.96,0,0,0,0,0,3.93,0,33.38,0,0,0,0,0.98,0.98,0.98,0.98
 84-94,0,2.12,1.06,0,0,0,0,0,1.06,0,16.99,0,0,2.12,0,0,3.19,0,0
 96-106,1.09,8.74,0,0,0,0,0,0,0,0,19.67,1.09,0,0,0,1.09,1.09,0,1.09
108-118,0,3.06,1.53,0.77,0,0,0.77,0,0,0.77,14.55,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,13.72,0,0,0,0,0,0,0,0
