stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,3,19,8,0,15,0,1,0,7,0,0,0,2,0,0,0,9,0,0,10,223,0,0,1,0,0,8,10,1,2,12,60,0,0,3,0,0
 24-34,0,0.82,0.82,2.46,4.93,0.82,0,48.43,0,0,0.82,3.28,0.82,0,0,0.82,0.82,0.82,0,20.52,0,0,7.39,288.12,2.46,0.82,1.64,0,0.82,13.13,0,0,0,0.82,53.36,0,0,6.57,0,0
 36-46,0,0,0,0,3.22,0,0,57.2,0,0.81,0,5.64,0,0.81,0,0,0,0,0,7.25,0,0.81,4.83,145.83,0,3.22,0,0,0,5.64,0,0,0,0,35.45,0,0,4.83,0,0
 48-58,0,0,0,0,1.15,0,0,59.1,0.57,0.57,0,16.07,0,0,0,0,0.57,0,0.57,11.48,0,1.72,2.87,109.6,0.57,0.57,0.57,0,0,2.3,0,0,0,0,24.67,0,0,3.44,0,0
 60-70,0,0,0,0,2.94,0,0,58.89,0,0,0,11.78,0,0,0,0,0,0,0,4.91,0,0.98,2.94,100.12,0.98,0,0.98,0,0,0.98,0,0,0,0,10.8,0,0,0,0,0.98
 72-82,0,0,0.98,0,2.94,0.98,0,50.06,0,0,0.98,22.58,0,0.98,0,0,0.98,1.96,0,20.61,0,0,2.94,106.02,0,0,0.98,0,0,1.96,0,0,0,0,5.89,0.98,0,3.93,0,0.98
 84-94,0,0,0,0,2.12,0,0,33.99,1.06,2.12,0,11.68,0,1.06,2.12,0,0,0,0,14.87,0,1.06,1.06,45.67,0,1.06,0,0,1.06,5.31,0,0,0,0,2.12,1.06,1.06,2.12,0,0
 96-106,0,0,0,0,5.46,0,0,28.41,1.09,0,2.19,9.84,1.09,2.19,3.28,1.09,0,0,0,14.21,0,0,0,40.44,0,2.19,1.09,0,0,8.74,0,0,0,0,1.09,0,0,2.19,1.09,1.09
108-118,0,0,0,0,0,0.77,0.77,19.15,0.77,0.77,1.53,9.19,0.77,1.53,0,0.77,0,0,0,11.49,0.77,1.53,4.6,55.92,0,0.77,1.53,0,0,3.83,0,0,0,0,2.3,0,0,4.6,0.77,0
120,0,0,0,0,3.92,0,0,21.56,0,0,1.96,11.76,0,0,1.96,3.92,0,0,0,13.72,0,0,5.88,47.03,0,0,1.96,0,0,3.92,0,0,0,0,3.92,0,0,3.92,0,0
