stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,9,5,5,0,0,0,1,0,0,0,0,0,0,1,5,0,0,4,113,2,1,1,6,0,1,15,0,0,8,24,0,0,1,0,0
 24-34,0,0,1.64,0.82,8.21,0,0,0,2.46,0.82,0,0,0,0,0,0,10.67,0,0,0.82,99.32,0,0,0.82,0,0,0.82,0,0,0,2.46,24.63,0,0,4.93,0,0.82
 36-46,0,0,0,0,20.14,0,0,0,4.83,0,0.81,0,0,0,0,0.81,17.72,0,0,2.42,69.29,0,1.61,0,0,0,0.81,0,0,0,0,20.95,0,0,0.81,0,0
 48-58,0,0,1.72,0,24.1,0.57,0,0.57,6.89,0,0,0,0,0,0,0.57,17.21,0,0.57,3.44,37.87,0,0,0,0,1.15,0.57,0,0,0.57,0,9.18,0,0,0,0,0.57
 60-70,0,0,0.98,0,13.74,0,0,0.98,3.93,0,0,0,0,0,0,0,11.78,0,0.98,0.98,19.63,0.98,0,0,0,0,1.96,0,0.98,0,0,4.91,0,0,1.96,0,0
 72-82,0.98,0,0.98,0,7.85,0,0,0,7.85,0,0.98,0,0,0,0,0,29.45,0.98,0,0.98,18.65,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,6.37,0,0,1.06,3.19,0,0,1.06,1.06,0,0,0,8.5,0,0,1.06,4.25,0,0,0,0,0,3.19,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,3.28,0,3.28,0,0,0,5.46,1.09,0,1.09,0,1.09,0,0,10.93,0,1.09,2.19,6.56,1.09,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,2.19,0
108-118,0,0,2.3,0.77,3.83,0,0.77,0,3.83,0,0,0,0,0,1.53,0,10.72,0,0.77,0.77,9.19,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,1.96,5.88,0,0,0,1.96,0,0,1.96,1.96,0,0,0,5.88,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
