stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,0,0,0,0,0,0,0,15,0,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,187.98,0,0.82,0.82,0,0,0,0,0.82,36.12,0,0,0.82,0,0
 36-46,0,0,0,0,10.47,0,0,0.81,0,0,0,0,0,0,0,2.42,0,2.42,513.21,0,2.42,0,0,0,1.61,0,0,99.1,0,0,0.81,0,0
 48-58,0,0,1.72,0,81.48,0,0.57,11.48,0,0.57,0,0,0,0.57,0.57,9.18,0.57,1.72,729.88,0,1.15,0.57,0,0,2.3,0,0,113.61,0,0,0.57,0,1.15
 60-70,0,0,2.94,0,235.57,0,0.98,7.85,0,0,0,0.98,0,0,0,11.78,0,0,947.17,0.98,0,0.98,0,0.98,0,0.98,0,111.89,0,0,1.96,0,0
 72-82,0,0,4.91,0,333.77,0,0,23.56,0.98,0.98,0,1.96,0,0.98,0,18.65,0,2.94,723.48,0,1.96,0.98,0,0,1.96,0,0,71.66,3.93,0,1.96,0.98,0
 84-94,0,0,4.25,1.06,190.1,0,0,20.18,0,0,2.12,2.12,0,0,0,15.93,0,0,362.15,0,1.06,1.06,0,0,3.19,0,0,46.73,1.06,0,0,1.06,2.12
 96-106,0,0,6.56,5.46,154.09,1.09,1.09,20.76,0,0,1.09,1.09,1.09,1.09,1.09,10.93,0,0,297.25,0,2.19,1.09,0,0,6.56,0,0,22.95,0,2.19,0,1.09,1.09
108-118,0,0,4.6,0,109.53,0,0.77,18.38,0.77,0,0,1.53,0,0,0,5.36,0,0.77,305.62,0,0,0,0,0,2.3,0,0,8.43,0,0.77,0,2.3,0
120,0,0,3.92,0,88.19,3.92,1.96,21.56,0,0,1.96,1.96,0,0,0,7.84,0,0,321.4,0,1.96,0,0,1.96,0,0,0,11.76,0,0,0,0,0
