stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,14,14,0,1,2,0,0,0,4,0,9,6,0,0,0,0,0
 24-34,0,0,4.1,0,0,3.28,1.64,2.46,0,0,0,1.64,0,0.82,0,0,0,48.43,0,0,17.24,25.45,27.09,0,0.82,0,0,0.82,0,0,0,1.64,12.31,0,0,0.82,0,2.46
 36-46,0,0,3.22,0,0,1.61,0.81,1.61,5.64,0,0,0,0,0,0,0,0,71.7,0,1.61,16.92,24.17,15.31,0.81,1.61,0,0,0.81,0,0,0,0,3.22,0,0,0.81,0,2.42
 48-58,0,0,1.72,0.57,0,6.31,1.15,5.74,3.44,0,0.57,0.57,0.57,0,0.57,0,0,129.11,0,1.15,11.48,21.8,13.2,0.57,1.15,0,0,0.57,0,0,0,0,7.46,0,0.57,0,0,3.44
 60-70,0,0,1.96,0,0,8.83,1.96,4.91,3.93,0,0,0.98,2.94,0,0,0.98,1.96,210.05,0,2.94,10.8,16.69,5.89,0,7.85,0,0.98,1.96,0,0,0,0,4.91,0,3.93,0.98,0.98,3.93
 72-82,0,0,0.98,1.96,0,12.76,3.93,10.8,5.89,0,0,0.98,2.94,0,0,0,0.98,364.2,0,3.93,16.69,20.61,12.76,0,4.91,0,0.98,0.98,0,0,0,0,3.93,0,4.91,0.98,7.85,3.93
 84-94,1.06,0,7.43,1.06,0,11.68,2.12,3.19,10.62,2.12,0,0,14.87,0,0,1.06,2.12,208.16,0,4.25,9.56,11.68,11.68,1.06,8.5,0,0,3.19,0,0,1.06,0,5.31,0,10.62,3.19,1.06,8.5
 96-106,0,0,4.37,0,0,10.93,0,5.46,9.84,1.09,0,2.19,14.21,0,0,0,0,242.61,1.09,6.56,4.37,16.39,9.84,0,9.84,0,0,3.28,0,0,0,0,3.28,0,4.37,2.19,2.19,7.65
108-118,0,0,3.83,0,0.77,6.89,0.77,2.3,5.36,4.6,0,1.53,9.96,0,0,0,0.77,189.19,0.77,3.83,9.96,18.38,6.89,0,5.36,0,0.77,3.83,0,0,0.77,0,0.77,0.77,3.83,3.06,3.06,9.96
120,0,0,1.96,0,0,7.84,1.96,1.96,11.76,3.92,0,3.92,13.72,3.92,1.96,1.96,0,194.02,0,3.92,3.92,15.68,9.8,0,9.8,0,3.92,3.92,0,0,0,0,1.96,0,0,1.96,7.84,7.84
