stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,3,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,3,38,10,0,1,3,2,1,1,1,2,4,18,0,0,0
 24-34,0,0,0,6.57,0,0,0,5.75,0.82,3.28,0,0,0,0,1.64,0,0,0,12.31,0,0,8.21,45.15,6.57,0.82,3.28,0,3.28,0,0,0,3.28,0.82,14.78,0,0,0
 36-46,0,0,0,5.64,0.81,0,0.81,4.03,0,7.25,0,0,0,0,0,0.81,0,0,29,0,0,5.64,30.62,4.83,0,0,0,0,0,1.61,0,4.03,0,20.14,0,0,0
 48-58,0,0,0,5.74,0,2.3,1.15,1.72,2.3,5.74,0,0,0,0,0,0.57,0,0,41.89,0,0,4.02,10.33,2.87,0,0,0,0.57,0,0,0,2.3,0,4.02,0,0.57,0
 60-70,0,0,0,12.76,0,0.98,1.96,1.96,0,18.65,0,0,0,0,0,0.98,0,0.98,94.23,0.98,0,5.89,3.93,2.94,0,0.98,0,0,0,0,0,0,0,1.96,0,2.94,0
 72-82,0,0,0,5.89,0,5.89,1.96,0.98,1.96,19.63,0,0,0,0,0,0.98,0.98,0,146.27,0,0.98,8.83,7.85,0,0,2.94,0,0,0,0,0,2.94,0,4.91,0.98,1.96,0
 84-94,0,0,0,20.18,0,5.31,2.12,3.19,2.12,20.18,0,1.06,3.19,0,0,2.12,0,3.19,129.57,0,0,9.56,10.62,0,1.06,2.12,0,0,0,0,0,12.74,0,2.12,1.06,1.06,2.12
 96-106,0,0,0,24.04,0,3.28,2.19,4.37,3.28,14.21,1.09,0,0,1.09,0,1.09,0,1.09,111.47,1.09,0,3.28,14.21,0,1.09,1.09,0,0,0,0,0,13.11,0,3.28,0,1.09,0
108-118,0,0,0,22.98,1.53,3.83,5.36,3.83,3.83,26.04,0,0,0.77,0,0,3.83,0,3.83,104.17,0.77,0.77,4.6,15.32,0,0,3.06,0,1.53,0,0,0,13.02,0,0,0.77,0.77,0
120,0,0,0,47.03,0,1.96,0,0,5.88,0,0,0,1.96,0,0,0,0,3.92,99.95,0,0,5.88,11.76,1.96,1.96,0,0,0,0,0,0,1.96,0,1.96,3.92,0,0
