stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,21.03,2.63,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,1,0,1,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0.82,0,0,15.6,0,0,0,0,0.82,0,0,0,4.1,0,0.82,0
 36-46,0,0,0,0.81,0,0,4.03,0,0,0,0,0,0,0,0,0.81,0,0.81,18.53,0,0,0,0,0.81,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,0,7.46,0,1.15,0,0,0,0,0,0,0.57,0.57,0,12.62,0,0,0.57,0,0.57,0,0.57,0,2.87,0,0.57,0
 60-70,0,0,0,0,0,0,4.91,1.96,0.98,0,0,0.98,0,0,0,0.98,0,0.98,12.76,0,0,0,0,0.98,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,3.93,0,0.98,12.76,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,1.06,0,0,0,3.19,0,0,0,0,0,0,1.06,0,1.06,0,0,6.37,0,0,0,0,2.12,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,3.28,1.09,1.09,0,0,0,0,0,0,2.19,0,0,4.37,0,1.09,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0.77,3.06,0.77,0.77,0,0,0,0.77,0,0,1.53,0,0,6.13,0,0,0,0,1.53,0,0,0,0.77,0,0.77,0.77
120,0,0,0,1.96,0,0,7.84,0,5.88,0,0,0,0,0,1.96,1.96,0,0,9.8,1.96,0,0,0,0,0,0,0,0,0,0,0
