stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 14-21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
 24-34,0.82,20.52,0,0,0,0,0.82,0,1.64,0,0.82,0,0,0.82,0,0.82,0.82,0.82,0,0,52.53,0,0,0,0
 36-46,0,5.64,0,0,2.42,0,0,0,0,0,0,0,0,0,0,1.61,1.61,0,0,0,46.73,0.81,0,0,0
 48-58,0,9.75,0.57,0,0.57,0,0,0,0,0,0,0,0,0.57,0.57,1.15,0,0,0,0,45.9,1.72,0,0,0.57
 60-70,0,15.7,1.96,0,0.98,0.98,0,0,0.98,0.98,0.98,0,0,1.96,0,1.96,1.96,0.98,0,0,95.21,0,0,0,0
 72-82,0,16.69,0,0,2.94,4.91,1.96,0,4.91,0,0.98,0.98,1.96,0.98,0,1.96,3.93,1.96,0,0,87.37,0,0,0.98,0.98
 84-94,0,33.99,2.12,0,3.19,2.12,0,1.06,2.12,1.06,1.06,0,1.06,3.19,0,2.12,4.25,1.06,0,0,213.47,0,1.06,0,0
 96-106,0,41.53,1.09,0,8.74,4.37,1.09,0,9.84,1.09,3.28,0,3.28,8.74,0,8.74,2.19,1.09,1.09,0,375.94,0,0,0,0
108-118,0,31.4,0,0.77,7.66,4.6,0,0,3.06,0.77,1.53,0,0,1.53,0,2.3,3.06,3.06,0,0,159.32,0,0.77,0.77,2.3
120,0,43.12,0,0,11.76,0,0,0,5.88,0,0,0,1.96,5.88,0,5.88,1.96,1.96,0,0,152.86,0,0,1.96,0
