stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,36,0,1,1,4,0,14,3,0,9,16,0,1,0
 24-34,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,6.57,0,0,2.46,22.16,0,0.82,1.64,0,0.82,0,0.82,0,0.82,5.75,0,0,0
 36-46,0,0,4.83,0,0,17.72,0.81,1.61,0.81,1.61,0,0,0,0,0.81,0,0.81,1.61,0,10.47,0,0,4.03,41.09,0.81,1.61,2.42,0,2.42,0,0,0,0,8.86,0,0.81,0
 48-58,0,0,3.44,0,0,3.44,0,0.57,0,1.15,0,0,0.57,0,0,0,0,0,0,3.44,0,0.57,0,6.31,0,0,0,0,0,0,0,0,0,1.15,0,0.57,0
 60-70,0,0,4.91,0.98,0,4.91,0.98,0,0,0,1.96,0,0,0,0,0,0.98,0,0,1.96,0.98,0,0.98,4.91,0,0,0.98,0,2.94,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,1.96,0,0,3.93,0,0,0,5.89,1.96,0,0,0,1.96,0,0,0,0,8.83,0,0,0,11.78,0,1.96,1.96,0,1.96,0,1.96,0.98,0,0.98,0,0,0
 84-94,0,0,7.43,1.06,0,3.19,0,1.06,0,7.43,2.12,0,0,0,0,0,1.06,0,0,6.37,0,1.06,0,6.37,0,2.12,3.19,0,3.19,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,2.19,0,0,1.09,0,0,2.19,3.28,2.19,0,0,1.09,0,0,3.28,1.09,0,5.46,0,0,1.09,3.28,0,1.09,4.37,0,3.28,0,1.09,0,0,1.09,0,0,0
108-118,0,0,8.43,0,1.53,3.83,0,0,0,3.06,0.77,0,0,0,3.06,0.77,0.77,0.77,0.77,10.72,0,0,2.3,9.19,0,0,3.83,0,3.06,0,0,0.77,0,0,0,0.77,0.77
120,0,0,15.68,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
