stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,30.65,306.48,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,7.89,0,0,2.63,0,0,13.14,0,0,0,0,0,144.58,21.03,0,0,26.29,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,12.59,0,0,0,0,0,0,0,0,84.97,185.67,0,0,50.35,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,7,0,1,0,1,0,0,0,1,0,0,21,123,0,1,4,0,3,0,2,4,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0,1.64,25.45,5.75,0,0,0,0.82,0,0,0,8.21,0,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,4.03,0,0.81,31.42,0,1.61,0,0,0.81,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,10.33,0.57,0,0,0,0,1.72,0,0,15.49,0,0,0,0,0.57,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,10.8,1.96,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,6.87,0.98,0,0,0.98,0.98,2.94,0,0,2.94,0,0,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,5.31,0,0,0,0,0,1.06,0,0,3.19,0,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,2.19,2.19,1.09,0,0,0,0,0,1.09,0,5.46,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,1.53,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
