stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,7.89,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,2,1,0,0,0,0,1,0,3,0,1,55,0,120,17,0,0,0,0,0,0,6,0,0,50,9,0,0,0,1
 24-34,0,3.28,0,6.57,0.82,9.85,0,0,0.82,1.64,9.85,0.82,0.82,442.44,0,302.9,36.12,0,0,0,0,0,1.64,0,0,0,29.55,11.49,0,0,0,0
 36-46,0,1.61,0,4.03,0,30.62,0,0,0,0,16.11,0,0,574.44,0,182.89,23.36,0.81,0,0,0,0,0,0.81,0,2.42,0,8.86,0,0,0,0
 48-58,0,1.15,0,6.31,0,13.2,1.72,0,0.57,0,31.56,0,0.57,519.29,0,94.68,20.08,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,0,11.78,0,10.8,3.93,0,0,0,40.24,0,0,377.89,1.96,67.73,18.65,0,0,0,0,0,0,0,0,0,0,4.91,0,2.94,0,0
 72-82,0,2.94,0,10.8,0.98,20.61,3.93,1.96,0,0,39.27,0,0,345.54,0,68.72,12.76,0,0,0.98,0,0.98,0.98,0,0,0,0,0,0,6.87,0.98,0
 84-94,0,2.12,0,14.87,1.06,14.87,4.25,0,0,0,70.09,0,0,267.63,0,57.35,5.31,0,0,0,0,2.12,0,0,0,0,0,1.06,1.06,7.43,0,0
 96-106,0,0,1.09,9.84,0,6.56,4.37,0,0,0,77.59,0,0,190.16,5.46,36.06,12.02,1.09,1.09,0,0,0,1.09,0,0,0,0,1.09,0,1.09,1.09,1.09
108-118,0,0,0,2.3,0,9.19,2.3,0,0.77,0,117.19,0,0,167.75,1.53,32.94,13.02,0,0,0,0,1.53,0.77,0,0,0,0,1.53,0,1.53,0,0
120,0,0,0,0,0,1.96,0,0,0,0,66.63,0,0,139.14,0,19.6,9.8,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0
