stage,endoderm,epidermis,exocrine_pancreas,eye,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,13,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,2,0
 24-34,0,0,0,3.28,0,0,6.57,0.82,0,0,0,3.28,0,0,0,0,0,2.46,0
 36-46,0,0,0,5.64,0,0,18.53,0,0,1.61,0,4.03,0,0,0,0,0,6.45,0
 48-58,0,0,0,7.46,0,0,38.44,0,1.72,1.72,0,5.74,0,0,0,0,0,7.46,0
 60-70,0,0,0,11.78,0.98,0,48.09,0,0.98,0.98,0,10.8,0,0,0.98,0,0,3.93,0
 72-82,0,0,0,19.63,0,0,82.46,0,0.98,6.87,0,10.8,0,0,0.98,0,0,9.82,1.96
 84-94,0,2.12,0,19.12,0,1.06,90.27,0,0,3.19,0,9.56,0,0,0,0,0,3.19,0
 96-106,0,0,0,17.49,1.09,0,110.38,0,1.09,4.37,0,7.65,0,0,0,0,0,7.65,0
108-118,0,0,0.77,22.21,0,0,75.83,0,0,3.06,0.77,6.89,0,0,0,0,0,3.06,0.77
120,0,0,1.96,9.8,0,0,107.79,0,0,0,0,9.8,0,0,0,0,0,3.92,0
