stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,132.17,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,131,0,0,1,1,0,0,3,0,4,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,82.09,0,0,0,0.82,0,0,0,0.82,0,0,0,0,4.1,0,0,2.46,37.76,0,1.64,0,0,0,1.64,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,106.35,0,1.61,2.42,0,0,0.81,0,0,0.81,0,0,0.81,10.47,0,0,3.22,91.85,0.81,0,0,0,0,5.64,0,0,20.14,0,0,3.22,0,2.42
 48-58,0,0,0,0,0.57,0.57,0,126.24,0.57,0,5.74,0,0,0,0,0,0,0,0.57,1.15,14.35,0.57,1.15,1.72,97.55,0.57,1.15,0.57,0,0,1.72,0,0.57,18.36,0,0.57,2.3,0,0.57
 60-70,0,0,0,0,1.96,0,0,144.28,0,0.98,4.91,0,0,0,0,0.98,0.98,0,0,0.98,19.63,0,0.98,1.96,95.21,0.98,0,0,0,0.98,2.94,0,0,11.78,0,0.98,0.98,0,2.94
 72-82,0,0,0,0,3.93,2.94,0,130.56,0,0.98,5.89,0,0,0,1.96,0.98,0,0,0,0.98,14.72,0.98,1.96,2.94,93.26,0,0,0,0,0,2.94,0,0,3.93,0,2.94,1.96,0,0
 84-94,0,0,1.06,0,1.06,0,0,138.06,2.12,0,3.19,1.06,0,0,2.12,3.19,0,0,0,0,18.05,0,2.12,2.12,41.42,0,0,0,0,0,1.06,0,0,4.25,1.06,1.06,2.12,1.06,2.12
 96-106,0,0,0,0,2.19,5.46,1.09,95.08,2.19,2.19,5.46,0,0,0,1.09,1.09,2.19,0,0,0,15.3,2.19,2.19,3.28,42.62,0,0,0,0,0,8.74,0,0,1.09,1.09,0,4.37,2.19,2.19
108-118,0,0,0,0,5.36,8.43,0,133.28,2.3,2.3,8.43,2.3,0,0.77,0.77,0.77,1.53,0.77,0,0.77,30.64,0,1.53,1.53,63.57,0.77,3.06,0,0,0,5.36,0,0,1.53,0.77,1.53,3.83,0.77,1.53
120,0,0,0,0,11.76,1.96,0,123.47,0,0,5.88,0,0,0,5.88,0,0,0,0,0,19.6,0,0,1.96,54.87,0,0,0,0,0,3.92,0,0,1.96,0,0,1.96,0,0
