stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,26.36,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,588.44,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,18.39,12.26,0,0,0,0,0
  7-9,7.89,7.89,5.26,0,0,15.77,0,0,7.89,0,0,0,0,0,157.72,13.14,0,0,65.72,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,12.59,0,0,0,0,0,0,0,0,125.88,0,0,0,37.76,0,0,3.15,0,3.15,0
 14-21,0,0,0,3,1,2,0,0,0,0,0,5,0,3,41,0,0,0,0,0,5,0,4,8,0
 24-34,0,0,0,0,0,4.1,0,0.82,0,0,0,7.39,0,1.64,60.74,0,0.82,0,0,1.64,0,0,0,12.31,0
 36-46,0,0,0,0.81,0,6.45,0,1.61,0,0,0,2.42,0.81,1.61,27.39,0,0.81,0,0,0,0,0,0,10.47,0.81
 48-58,0,0,0,0.57,0,14.92,0,1.72,0,0,0,2.87,0,0.57,13.77,0.57,0,0,0,0.57,0,0,0,6.89,0
 60-70,0,0,0,0,0,13.74,0.98,1.96,0,0.98,0,2.94,0,0.98,14.72,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,1.96,0,2.94,0,0,0,3.93,0.98,0,6.87,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,3.19,0,1.06,0,0,0,4.25,0,0,4.25,0,0,1.06,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,0,2.19,1.09,3.28,0,0,1.09,3.28,0,0,4.37,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,1.53,0,0,0,1.53,0.77,0,2.3,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
