stage,epidermis,eye,glial,immune,iridophores,mesenchyme,mural_cell,neural,slow_muscle,spinal_cord,xanthophores
 14-21,1,13,6,0,0,0,0,125,1,53,0
 24-34,0.82,9.85,0.82,0,0,0,0,99.32,0,23.8,0
 36-46,0,33.84,2.42,0,0,2.42,0,185.3,0,29,0
 48-58,0,29.84,2.3,0,0.57,0.57,0.57,75.17,0,17.79,0
 60-70,0,5.89,1.96,0,0,0,0,10.8,0,4.91,0
 72-82,0,38.28,3.93,0,0,0,0,37.3,0,0.98,0.98
 84-94,0,28.68,1.06,0,0,1.06,0,16.99,0,1.06,0
 96-106,0,6.56,0,0,0,0,0,16.39,0,0,0
108-118,0,10.72,0,0.77,0,0,0,13.02,0,0,0
120,1.96,13.72,0,0,0,0,0,11.76,0,0,0
