stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,2.46,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,2.42,0,0,0,0,5.64,0,0,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,0,0.57,0,0.57,0,0,0,6.31,0,0,1.72,0.57,0,0,0,0,11.48,0,0,0,0,0,0.57,0,0
 60-70,0,0,2.94,0,0,0.98,0.98,0,0,6.87,0.98,0,0.98,0,0,0.98,31.41,0,0.98,0.98,1.96,0,0,0,0.98,28.46,0.98,0,0.98,0,0,0,0.98,0
 72-82,0,0,9.82,0.98,0,9.82,0,0.98,0,44.17,0.98,0,0,0,0,31.41,133.51,0.98,9.82,7.85,20.61,0,0,0.98,0,33.38,0,0,0,0.98,3.93,1.96,2.94,0
 84-94,2.12,1.06,36.11,0,0,13.81,3.19,1.06,1.06,121.07,0,0,5.31,1.06,0,107.27,79.65,4.25,6.37,2.12,19.12,1.06,1.06,5.31,0,146.56,3.19,0,1.06,0,0,5.31,2.12,0
 96-106,1.09,0,77.59,4.37,1.09,22.95,5.46,1.09,4.37,234.96,0,2.19,8.74,0,2.19,289.6,147.53,1.09,16.39,8.74,85.24,1.09,0,9.84,0,214.2,5.46,0,0,2.19,4.37,9.84,2.19,1.09
108-118,0.77,2.3,142.47,1.53,0.77,19.15,15.32,0.77,4.6,379.92,1.53,2.3,10.72,0,0,759.84,146.3,3.06,9.19,7.66,79.66,0,0,9.96,0.77,210.64,16.09,0,0,0.77,1.53,13.79,2.3,0.77
120,0,3.92,186.18,5.88,0,17.64,17.64,0,7.84,184.22,1.96,0,9.8,0,0,282.21,135.23,3.92,13.72,5.88,48.99,0,0,5.88,1.96,225.38,9.8,0,3.92,1.96,0,19.6,1.96,0
