stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,3,0,0,0,0,1,0,6,5,1,0,0,0,0,1,0,4,18,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,8.21,0.82,0,0,0,1.64,0,3.28,40.22,0,0,0,0,0,0,0,1.64,39.4,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,0.81,2.42,0,0,0,0,4.03,0,1.61,33.03,0,0,0,0,0,0,0,0.81,49.95,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0.57,0.57,4.59,0,0,0,0,2.3,0.57,1.72,25.82,0,0,0,0,0.57,0,0,0,39.02,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,3.93,0,0,19.63,0,0.98,0,0,0,0,0,0,30.43,0,0.98,0,0
 72-82,0,0.98,0.98,1.96,0,0,0,7.85,0.98,0,0,0,5.89,0,0.98,15.71,0,0,0,0,0.98,0,0,0,16.69,0.98,0.98,0,0.98
 84-94,0,0,0,2.12,0,1.06,0,2.12,0,0,1.06,1.06,3.19,0,0,8.5,0,0,0,0,0,0,0,0,5.31,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,0,2.19,0,0,0,1.09,1.09,0,0,0,4.37,0,0,1.09,0
108-118,0,0,0.77,0,0,0,0.77,1.53,0.77,0,0,0.77,2.3,0,0.77,7.66,0,0,0,0,0,0,0.77,0,3.83,0,0,0.77,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,3.92,1.96,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0
