stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,49.04,600.7,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,120.92,2.63,0,89.38,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,157.35,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,2,0,2,0,0,10,0,1,13,9,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,5.75,0.82,0,0,0,0,0,0,0.82,1.64,9.03,0,0,0
 36-46,0,0,0,0,0,21.75,0,0,1.61,0,0,0,0,0.81,1.61,14.5,0,0,0,0.81,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,95.25,0,0,2.87,0,0,0,0,1.15,0,13.77,0,0,0,0.57,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,260.1,0,0,1.96,0,1.96,0,0,0,0,13.74,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98
 72-82,0,0,0,0,0,232.65,0,0.98,3.93,0.98,0,0,0,7.85,0,22.58,0,0,0,2.94,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,4.25,1.06,115.76,0,1.06,7.43,0,0,0,1.06,9.56,0,12.74,0,0,0,0,0,0,0,0,0,3.19,0,0,0
 96-106,0,0,0,0,0,77.59,0,0,2.19,0,1.09,0,0,3.28,1.09,9.84,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0,0,0,71.23,0.77,0,3.83,0,0,0,0,1.53,0,3.06,0,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,45.08,0,0,3.92,0,0,0,0,1.96,0,15.68,0,1.96,0,0,0,0,0,0,0,0,0,0,0
