stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,13,0,0,0,0,0,3,11,0,0,0
 24-34,0,0,0,6.57,0,0.82,0,1.64,2.46,0,0,17.24,0,0,16.42,93.58,1.64,0.82,0,0,0.82,1.64,23.8,0,4.93,0
 36-46,0,0,0,6.45,0,0,0,3.22,1.61,0,0.81,35.45,0,0,11.28,281.98,2.42,0,0,0,0,0,52.37,0,5.64,0
 48-58,0,0.57,0,17.21,1.15,0,0.57,2.3,0.57,0,0,36.72,0,0.57,10.33,256.49,0,0,0,0,0.57,0,44.18,0,3.44,0
 60-70,0,0,0,22.58,0.98,0,0.98,3.93,1.96,0,0,66.74,0,0.98,7.85,281.7,0,0,0,0,0,0,30.43,2.94,5.89,0
 72-82,0,0.98,0,16.69,0,0,2.94,0.98,3.93,0,0,65.77,0,2.94,9.82,121.73,0,0,0,0,0,0,15.71,0.98,7.85,2.94
 84-94,0,0,0,20.18,0,0,2.12,5.31,1.06,0,0,48.85,0,5.31,5.31,80.71,0,0,0,1.06,0,0,9.56,0,9.56,2.12
 96-106,0,0,1.09,5.46,0,1.09,3.28,4.37,2.19,1.09,0,26.23,0,1.09,2.19,55.74,0,2.19,1.09,0,0,0,2.19,3.28,4.37,0
108-118,0,0,0,10.72,0,0,0.77,0.77,0,0,0,22.98,0,0.77,2.3,52.85,0,0.77,0,0,0,0,1.53,0,6.13,3.06
120,0,0,0,3.92,0,0,0,1.96,0,0,0,7.84,1.96,0,7.84,52.91,0,0,0,0,0,0,0,0,1.96,0
