stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,10.51,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,9.44,0,0,3.15,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,5,0,22,2
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,1.64,4.1,2.46,0,0,0,0,0,0.82,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,1.61,7.25,0,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,2.3,0,0,0,0.57,0,0,1.15,0.57,3.44,0.57,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0.98,0,0,0,0,0.98,0.98,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0.98,8.83,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,7.43,3.19,0,0,0,0,0,2.12,1.06,7.43,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0.77,0,2.3,0.77,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0
