stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,liver,melanocytes,mesenchyme,mucous,neural,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0.81,0.81,0,0,0,10.47
 48-58,0,0,0,0,0,0,0,0,3.44,0,0,1.15,0,0,0,0,0,0,7.46
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,4.91
 72-82,0,8.83,1.96,0,0.98,0,0,0,0.98,9.82,0,0.98,0,0,0,0,0,0.98,4.91
 84-94,0,6.37,0,0,0,0,0,0,0,9.56,0,3.19,0,0,0,7.43,0,0,1.06
 96-106,0,25.14,0,0,0,4.37,1.09,1.09,0,15.3,0,5.46,0,0,0,12.02,0,2.19,10.93
108-118,0,29.11,0.77,1.53,0.77,2.3,1.53,0.77,0,11.49,0.77,3.83,0,0,0,36,0,0,9.19
120,0,27.44,0,1.96,0,7.84,0,0,0,3.92,0,1.96,0,0,0,13.72,3.92,0,3.92
