stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,8,1,0,0,0,0,0,0,0,10,0,0,6,16,0,1,0,1,0,9,0,0
 24-34,0,0,0,0,1.64,0,0,1.64,0,0.82,0,0,22.16,0.82,0,5.75,18.06,0,0,0.82,1.64,0,18.88,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,16.92,0,0,7.25,5.64,0,0,0,1.61,0,5.64,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,0,0,15.49,0,0,2.87,4.59,0,0,0,0.57,0,3.44,0,0.57
 60-70,0,0,0,0,0,0,0,1.96,0,0.98,0,0,14.72,0,0.98,1.96,0.98,0,0,0,0,0.98,0.98,1.96,0
 72-82,0,0,0,0,2.94,0,0,0.98,0.98,0,0,0,20.61,0,0,0.98,1.96,0,0,0,0,1.96,0.98,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,3.19,0,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,2.19,1.09,0,1.09,0,0,0,0,13.11,0,0,0,2.19,0,0,0,0,0,2.19,0,0
108-118,0,0,0,0,0.77,0,0,1.53,0,0,0.77,0,11.49,0,0,0,5.36,0,0,0,0,0.77,2.3,0.77,0
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,7.84,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0
