stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,6.29,0,0,6.29,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,1,0,2,1,0,44,0,0,0,0,0,0,0,0,0,7,0,1,29,0,2,0,3,0,0,3,14,0,4,151,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,3.28,0,0,68.95,0,0,0,0,0,0,0.82,0,3.28,4.93,0,0.82,55,0,4.93,2.46,0,0.82,0,0,13.95,0,2.46,129.7,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,3.22,0,0.81,49.95,0,0,0,0,0,0.81,0,0,0,6.45,0.81,2.42,58.01,0,3.22,1.61,0,0.81,0,0,4.83,0,0,84.6,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,0,13.2,0,0,50.49,0,0,0,0,0,0,0,0,0.57,6.89,0,0.57,29.26,0,0.57,0.57,0,1.15,0,0,3.44,0,0,64.27,0,0.57,0,0
 60-70,0,0,0,0,1.96,0.98,0,12.76,0,0,75.58,0,0,0,0.98,0,0.98,0,0,0.98,7.85,0.98,0,30.43,0,3.93,0,0,0,0,0,1.96,0.98,0,40.24,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0,10.8,0,0.98,130.56,0,0,0.98,0,0.98,0.98,0,0,0.98,12.76,0,0,33.38,0,4.91,0.98,0,0,0,0,0,0,0,30.43,0,1.96,0,0
 84-94,0,0,1.06,1.06,2.12,0,0,15.93,0,1.06,94.52,1.06,0,0,2.12,0,6.37,0,0,0,8.5,0,1.06,14.87,0,6.37,1.06,0,2.12,0,0,8.5,0,0,33.99,0,1.06,2.12,0
 96-106,0,0,0,0,2.19,2.19,0,9.84,0,0,85.24,0,0,0,0,0,4.37,0,0,0,9.84,0,1.09,17.49,0,7.65,4.37,0,1.09,0,0,6.56,0,0,21.86,0,1.09,1.09,1.09
108-118,0,0,0,1.53,3.83,0,0.77,3.83,0,0.77,72,3.06,0,0,0,0,4.6,0,2.3,0.77,5.36,0,1.53,11.49,0,2.3,0.77,0,2.3,0,0,5.36,0,0,14.55,0,0.77,0,0.77
120,0,0,0,0,3.92,0,0,0,0,1.96,45.08,0,0,0,0,0,7.84,0,1.96,0,3.92,0,0,15.68,0,1.96,1.96,0,0,0,0,9.8,0,0,7.84,1.96,0,0,0
