stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,2,1,0,0,0,0,0,1,0,0,2,0,0,12,0,0,0,0,6,0,1,0,1
 24-34,1.64,3.28,0,1.64,0,0,0.82,0,0,0,0,0,1.64,0,0.82,33.66,0,0.82,0.82,0,25.45,0,0.82,0,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,0,0,3.22,0,0,40.28,0,0.81,0,0,13.7,0,0.81,0,0
 48-58,0,0.57,0,8.03,0,0,0.57,0,0,0,0,0,4.02,0,0,45.33,0,1.15,0,0,11.48,0,1.15,0,0
 60-70,0,0,0,11.78,0,0.98,0,0.98,0,0,0,0,2.94,0.98,0,53.98,0,0.98,0.98,0,10.8,0,1.96,0,0
 72-82,1.96,1.96,0,30.43,0,0,3.93,0.98,0,0,0,0,16.69,0,0.98,98.17,0.98,2.94,0.98,0,16.69,0.98,1.96,0.98,0
 84-94,0,0,0,19.12,0,0,3.19,1.06,0,0,0,0,9.56,0,0,40.36,0,3.19,0,0,3.19,1.06,3.19,1.06,1.06
 96-106,0,3.28,2.19,15.3,0,0,6.56,5.46,1.09,0,0,0,15.3,0,0,67.76,0,5.46,0,0,8.74,1.09,3.28,1.09,0
108-118,0,3.06,0,16.85,0.77,0,4.6,1.53,0,0,0.77,0.77,4.6,0,0,68.17,2.3,1.53,0,0.77,6.89,0.77,0,0.77,0
120,0,0,0,19.6,0,0,1.96,5.88,0,0,0,0,5.88,1.96,0,68.59,1.96,3.92,0,0,9.8,0,0,0,0
