stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,2,8,3,0,0,0,0,3,0,0,205,324,2,0,0,0
 24-34,0,0.82,2.46,0,0,0.82,17.24,0,0,0,0,7.39,0,0,0.82,0,3.28,15.6,32.83,0,0,0.82,0,1.64,0.82,0,60.74,189.62,4.1,0,0,0
 36-46,0,0,0.81,0,0,2.42,26.59,0.81,0,0,0,7.25,0,0,0,0,0.81,8.06,5.64,0,0.81,0.81,0,1.61,0,0,20.95,10.47,0.81,0,0,0
 48-58,0,0,0.57,0,0,4.59,10.9,0,0,1.15,0,3.44,0.57,0,0,0.57,0.57,5.16,12.62,0,0,0,0,1.15,0,0,10.9,0,0.57,0,0,0
 60-70,0,0,1.96,0.98,0,4.91,27.48,0,0,0.98,0,1.96,0.98,0,0,0,4.91,7.85,9.82,0,0,0,0,0,0,0,10.8,0,0,0,0,0
 72-82,0,0,0.98,0,0,2.94,19.63,0,0,0,0,1.96,0.98,0,0,1.96,5.89,3.93,14.72,0,0,0,0,0.98,0,0.98,8.83,0,0.98,0,1.96,0
 84-94,0,0,0,0,0,7.43,31.86,0,0,1.06,0,1.06,0,0,0,2.12,2.12,7.43,4.25,1.06,0,0,0,3.19,0,1.06,7.43,0,0,1.06,0,1.06
 96-106,0,0,0,2.19,0,7.65,41.53,0,1.09,2.19,2.19,6.56,3.28,0,1.09,0,6.56,6.56,12.02,0,1.09,0,0,3.28,0,2.19,7.65,0,2.19,0,0,0
108-118,0,0,0.77,0,0.77,1.53,41.36,0,0,3.06,0,3.06,0,0.77,0,0,2.3,16.09,7.66,0,0.77,0,0,1.53,0,0,16.09,0,0.77,0.77,2.3,0
120,0,0,0,0,0,1.96,37.24,0,0,0,0,0,0,0,0,0,3.92,13.72,0,0,0,0,0,1.96,1.96,0,3.92,0,0,0,0,0
