stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,107,0,3,0,0,0,0,1,0,0,17,60,0,0,0,0,0
 24-34,0,1.64,0,6.57,0.82,0,13.95,0,0.82,0,2.46,0,0,0,1.64,0,0,0,0.82,0,4.1,0.82,0,11.49,845.48,0,38.58,0.82,0,0,2.46,0,0.82,0,0,233.94,0,0,0.82,0,0
 36-46,0,0,0,4.83,0,0,144.21,1.61,0,0,11.28,0,0,0.81,1.61,0.81,1.61,0,0,1.61,10.47,0,0,3.22,2064.12,1.61,35.45,2.42,0,0,4.03,0,0.81,1.61,0,497.1,0,0,0.81,0,0.81
 48-58,0,0.57,0,15.49,1.15,0,596.76,0,1.15,1.72,56.81,0,0,1.15,1.15,0.57,0.57,0,1.15,0.57,37.87,0.57,0.57,9.18,3138.14,1.72,40.74,0.57,0,0.57,4.59,0,0,1.15,0,651.84,0,0,2.3,0,4.02
 60-70,0,0.98,0,9.82,2.94,0,631.12,1.96,0.98,0.98,50.06,2.94,0.98,0.98,0.98,0,0,1.96,0.98,4.91,50.06,0.98,0,2.94,3432.38,0.98,37.3,1.96,0,0.98,10.8,0,1.96,0,0,526.1,0,0.98,4.91,0,2.94
 72-82,0,9.82,0,44.17,3.93,0,614.52,0.98,1.96,1.96,72.64,7.85,0,2.94,4.91,0,4.91,1.96,0.98,1.96,80.5,3.93,3.93,4.91,3236.54,0.98,45.16,0.98,0,0,10.8,0,0,0,0,432.91,0,3.93,9.82,2.94,3.93
 84-94,0,3.19,0,54.16,3.19,0,602.18,2.12,0,0,72.22,2.12,0,0,4.25,0,5.31,2.12,2.12,2.12,57.35,0,5.31,3.19,1906.36,1.06,48.85,3.19,0,0,13.81,0,0,3.19,0,252.76,2.12,2.12,5.31,3.19,0
 96-106,0,5.46,0,69.94,9.84,2.19,414.19,2.19,2.19,6.56,88.52,9.84,0,3.28,14.21,2.19,2.19,1.09,8.74,0,48.09,0,3.28,4.37,1751.83,1.09,64.48,4.37,0,0,18.58,0,1.09,0,0,133.33,0,0,3.28,3.28,1.09
108-118,0,6.89,0.77,30.64,3.83,3.83,342.39,2.3,3.83,1.53,46.72,7.66,0,0,2.3,0.77,3.06,0,3.06,0,29.87,1.53,0,3.83,2087.25,0.77,51.32,1.53,0,1.53,8.43,0,0,0,0,104.17,1.53,2.3,6.89,0,2.3
120,0,0,0,25.48,7.84,1.96,307.69,0,5.88,5.88,45.08,1.96,0,1.96,7.84,3.92,5.88,0,1.96,0,41.16,0,3.92,9.8,2177.32,7.84,25.48,1.96,0,0,1.96,0,1.96,0,0,103.87,1.96,1.96,7.84,0,1.96
