stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,15.77,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,18.88,0,0,3.15,0,0,0,0
 14-21,0,0,6,3,2,0,0,1,0,0,0,0,0,2,0,0,1,18,1,1,1,0,1,0,6,2,0,0
 24-34,0,0,1.64,0,1.64,0,0,2.46,0,0,0,0,0,2.46,0,0,2.46,15.6,0,0,0,0.82,0,0,0.82,0.82,0,1.64
 36-46,0,0,0.81,0,3.22,0,0.81,0,0,0,0,0,0.81,0.81,0,0,0,17.72,0,0,0,0.81,0,0,0,4.03,0,1.61
 48-58,0,0,0,0,3.44,0,0,0,0,0,0.57,0,0,2.3,0,0,0.57,9.75,0,0.57,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,9.82,0.98,0.98,2.94,0,0.98,0,0,0,2.94,0,0,0,10.8,0,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,8.83,0,0,4.91,0,0,0,0,0,2.94,0,0,0,9.82,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,2.12,0,7.43,0,0,0,0,0,0,1.06,0,2.12,1.06,0,0,3.19,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,3.28,0,0,4.37,0,0,1.09,0,1.09,4.37,0,0,0,2.19,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,3.83,0,0,0,0,0,0,0,0.77,1.53,0,0.77,1.53,9.96,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,1.96,0,5.88,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0
