stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,18.88,0,0,53.5,0,0,3.15,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,2,13,5,0,5,0,0,0,0,6,1,0,0,0,0,0,1,12,0,0,7,46,2,0,1,4,0,3,0,5,5,0,3,16,0,0,0,0
 24-34,0,0,3.28,13.13,0.82,0,11.49,0,0.82,0.82,3.28,2.46,0.82,0,0.82,0,0,0.82,0,48.43,0,0.82,22.16,57.46,2.46,1.64,2.46,0,0,10.67,0,0,4.93,0,3.28,24.63,0,16.42,0,1.64
 36-46,0,0,0,4.83,0,0,4.83,0,0.81,3.22,7.25,0,2.42,0,0.81,0,0,0,0,69.29,0,0,24.17,28.2,4.03,0.81,1.61,0,0,2.42,0,0,6.45,0,0,16.11,0.81,2.42,0,1.61
 48-58,0,0,0,1.15,0.57,0,5.74,0,0.57,2.3,13.2,1.15,1.15,0,0.57,0.57,0,0,1.72,103.86,0.57,1.72,17.79,21.23,1.72,0,1.15,0,0.57,1.15,0,0,4.59,0,0,20.66,0.57,4.02,0,1.15
 60-70,0,0,0,2.94,0,0,13.74,0,1.96,6.87,18.65,3.93,2.94,0,2.94,1.96,0,0,0,170.78,1.96,4.91,24.54,11.78,0,0.98,1.96,0,0,3.93,0,0,11.78,0,0,17.67,3.93,1.96,0,2.94
 72-82,0,0,0,5.89,0,0,9.82,0,0.98,6.87,46.14,4.91,1.96,0,5.89,2.94,3.93,0,0,242.47,0.98,4.91,21.6,20.61,1.96,0,2.94,0,0.98,0.98,0,0,4.91,0,0,10.8,6.87,1.96,5.89,1.96
 84-94,0,0,0,13.81,1.06,0,33.99,1.06,4.25,10.62,30.8,12.74,1.06,0,5.31,2.12,1.06,0,1.06,129.57,0,6.37,15.93,16.99,6.37,1.06,0,0,1.06,2.12,0,0,15.93,0,0,7.43,5.31,4.25,4.25,4.25
 96-106,0,0,0,19.67,3.28,2.19,32.79,0,1.09,7.65,51.36,12.02,2.19,0,12.02,2.19,3.28,1.09,2.19,148.63,0,2.19,9.84,26.23,2.19,0,3.28,0,2.19,2.19,0,0,21.86,0,0,9.84,3.28,5.46,10.93,5.46
108-118,0,0,0.77,9.96,2.3,6.13,41.36,0.77,5.36,3.83,37.53,8.43,1.53,0.77,4.6,3.83,0.77,1.53,0,106.47,1.53,11.49,10.72,22.21,3.06,0,6.89,0,2.3,0.77,0,0,14.55,0,0,3.83,0,3.06,2.3,5.36
120,0,0,0,3.92,1.96,1.96,23.52,0,1.96,1.96,21.56,9.8,0,0,9.8,1.96,0,1.96,1.96,99.95,0,1.96,5.88,13.72,7.84,0,0,0,0,0,0,0,9.8,1.96,0,1.96,1.96,0,3.92,0
